clue,exp,len
3  Place of miracle attended by sick Eastern people en masse (8),"   CANA (Among Christians and other students of the New Testament, CANAis best known as the place where Jesus is said to have performed his first public miracle turning water into wine) + ILL (sick) + E (Eastern)  CANAILLE (the masses)  ",237
9  Bitter matron wandering round end of ward (7),   Anagram of (wandering) MATRON containing (round) D (last letter of [end of] WARD) MOR (D) ANT* MORDANT (bitter)  ,116
"10  Sentimentality of elder maybe, enthralling a class (7)",   TREE (elder is an example of a tree) containing (enthralling) (A + CL [class]) TRE (A CL) E TREACLE (sentimentality)  ,121
11  Farmer rushed around pursued by that woman (7),   RAN (rushed) + C (circa; around) + HER (that woman)  RANCHER (farmer)  ,74
"12  Gift from girl full of passion, article not acceptable (7)",   LASS (girl) containing (full of) (RAGE [passion] excluding [not acceptable] A [indefinite article]) LA (RGE) SS LARGESS (variant spelling of LARGESSE [bestowal or distribution of gifts] also defined in Chambers Thesaurus simply as gift and in Collins as the things so bestowed)  ,282
"13  Single-mindedness of canon, contrite after going astray (13)",   Anagram of (going astray) CANON CONTRITE CONCENTRATION* CONCENTRATION (single-mindedness)  ,94
"14  Splashing shampoo, mister effects a complete transformation (13)",      No Clue Wordplay Answer Entry ,36
1  Confident holding one player back (8),   SURE (confident beyond doubt) containing (holding) (I [one] +[MAN {player} reversed {back}]) SUR (I NAM<) E SURINAME (Country) – wordplay only  ANEURISM (anagram of SURINAME)  ,179
11  Duke’s forest burning with top of trees destroyed (6),   ARDENT (burning) excluding (destroyed) T (first letter of [top of] TREES)    ARDEN (reference the links between Duke Senior and the Forest of ARDENin Shakespeare’s As You Like It. I’ll leave it to those better versed in Shakespeare than me to explain the full details of the reference)  ,290
12  Lies around for parts of short afternoon in pram (6),   Anagram of (around) LIES replacing (for) PM (an abbreviation for [short] afternoon) in PRAM IS RA EL* ISRAEL (Country) – wordplay only  SERIAL (anagram of ISRAEL)  ,167
14  Shelter in Scapa Flow is all right after bombing (4),   Anagram of (bombing) (IS and OK [all right]) SKIO*    SKIO (a shed in Orkney or Shetland)   ,95
15  Vessel absent originally regularly retreating into each small Shetland island creek (7)," which can be split into two clues by taking alternate words as follows: 15-1 Vessel originally retreating each Shetland creek 15-2 Absent regularly into small island 15-1: V [first letter of [originally] VESSEL) + EA (each) reversed (retreating) V AE< 15-2: A (absent) + IT (letters 1 and 3 [regularly] of INTO) VAE (variant spelling of VOE, Shetland word for creek) AIT (small island) AVIATE (a word formed by taking letters from AIT and VAE alternately)   ",459
16  Linesman’s calm when missing first half header from England (3),   EN (second half of [missing first half] WHEN) + E (first letter of [header from] ENGLAND)    ENE (poet’s [linesman’s] word for E’EN [even; calm])  ,150
17  Outlaw bass drum outside (5),   REEL (drum on which thread may be wound) containing (outside) B (bass) RE (B) EL   REBEL (outlaw)  ,102
19  A worthless land (7),   A + LIGHT (worthless)    ALIGHT (land)  ,43
20  Bark‘s secured amidships by sheet anchor (4),   TAN (hidden word in [secured amidships by] SHEET ANCHOR) Note that TAN forms the three middle letters of SHEET ANCHORso the entryappears amidships in the phrase)    TAN (spent bark)  ,186
22  Unhappy noises heard in court from those missing the action (6),   Anagram of (unhappy) NOISES ESSOIN*   ESSOIN (a legal termto describe an excuse for not appearing in court)  ,112
24  Radiator’s interminable leak having trapped air backing up (6),"   (LEAK excluding the final letter [interminable] containing [having trapped] AIR]) all reversed (backing up) (AE (RIA) L)<   AERIAL (wire, rod, etc exposed toemit electromagnetic waves; an object that radiates waves radiator)  ",229
27  Beginning to shrug off some nasty old man’s grimace (4),   Anagram of (nasty) SOME excluding (off) S (first letter of [beginning] SHRUG) MOE*   MOE (archaic word for [old] grimace) I’m not sure what role the word MAN plays in the clue.  ,181
"28  No longer on the spot, meaning a fresh nomination being added to the others (7)",   Anagram of (fresh) MEANING and A excluding [no longer] IN [on the spot]) AGNAME*   AGNAME (a name over and above the ordinary name and surname; a fresh nomination being added to the others)  ,194
30  Talk incessantly as in old Italian language (5),   YAK (talk incessantly) + UT (as in Latin [old Italian])    YAKUT (the languageof a mixed Turkic people living in NE Siberia)  ,129
31  One on benefits behind former taxmen’s fury (3),"   IR (Inland Revenue, the name for the tax department in Britain before it merged with Customs and Excise to become HMRC (Her Majesty’s Revenue and Customs) + E (in advertising and marketing terminology, the letter for group or personswho has or have no regular income or who is /are dependent on state benefit)     IRE (fury)  ",329
32  Sweden’s example of base? (7),"   S (International Vehicle Registration for Sweden) + ERBIA (erbium oxide, a chemical base)  SERBIA (Country) – wordplay only  RABIES (anagram of SERBIA)  ",156
35  A lot of time that’s spent in dead reckoning’s regularly wasted (4),"   Letters 3, 6, 9 and 12 of (regularly) DEAD RECKONING    AEON (a vast age; a lot of time)   ",94
"36  Scots make no mistake turning very mean, essentially without right money (6)", which can be split into two clues by taking alternate words as follows: 36-1 Scots no turning mean without money 36-2 Make mistake very essentially right 36-1: MEAN excluding M (money) reversed  NAE< 36-2:: ER (middle letter of [essentially] VERY + R (right) NAE (Scots word for no) ERR (make mistake) NEARER (a word formed by taking letters from NAEand ERR alternately)   ,374
37  Regiment alert for elderly German brass (6),   Anagram of (regiment) ALERT  TALER*   TALER (obsolete [elderly] German silver coin [money; brass])   ,104
"38  The ordinary majority, overturning French without word – individual keeping people special (8)", which can be split into two clues by taking alternate words as follows: 38-1 The majority French word keeping special 38-2 Ordinary overturning without individual people  ,172
8. DENATURE Fundamentally change tune and dare to get jazzy (8),(TUNE DARE)* ,13
9. ROACH Butt in reproachfully (5),Hidden in repROACHfully ,24
10. BASS Part of orchestra lacking right instrument (4),BRASS less R ,13
11. LOCOMOTIVE Nuts ground in big machine (10),"LOCO (mad, nuts) + MOTIVE (ground or grounds) ",46
"12. OLD HAT Like a chestnut horse brought in to lad for grooming (3,3)",H in (TO LAD)* ,15
"14. EPHEMERA They pass quickly, with record time crossing border (8)",HEM in EP + ERA ,16
16. POLLOCK Artist cut receding hair (7),LOP (cut) reversed + LOCK – the artist is Jackson Pollock ,58
18. EGGMASS Intelligentsia urge religious celebration (7),EGG (urge) + MASS – a new word for me: Chambers gives “intellectuals as a group” (perhaps derived from “egghead”?) ,115
21. ABINGDON Neighbour of Oxford tutor found by a search engine (8),"The tutor might be A BING DON, Bing being Microsoft’s web search engine ",72
23. SUCKER Person wanting compensation about fashionable label for mug (6),"CK (Calvin Klein, fashionable label) in SUER ",45
24. PHILOSOPHY School with hippy founders ditching conservative belief system (10),(SCHOOL HIPPY)* less C ,23
26. CHIP Thematic accompaniment is cold and hot (4),C + HIP – one of the chips to go with your fish ,48
"27. SHOAL Back country without hospital? 9, 10 and 11 other answers might make it (5)",H in reverse of LAOS – shoals are made up of fish ,50
28. ETHEREAL Delicate present wrapped by Roman and others (8),HERE (present) in ET AL Down ,29
1. SERAGLIO Al Gore is amazing for wives and girlfriends (8),(AL GORE IS)* ,14
2. RAYS What the Sun produces is reporter’s ruin (4),Homophone of “raze” (to the ground) ,36
3. MULLET Ponder extremely elegant hairdo (6),MULL + E[legan]T ,17
4. PERCHES Foreign parents embracing companion in bars where birds are found (7),CH in PERES (French fathers) ,29
5. DRUM Primarily despondent spirit for one getting beaten (4),D[espondent] + RUM ,19
"6. PANTOMIMIC Rubbish for parodying, like some theatrical entertainment (10)","PAN (to criticise, rubbish) + TO MIMIC ",39
7. SHAVER Boy‘s mum to swear (6),"SH (quiet, mum) + AVER. Rather dated slang for a boy or youth ",62
13. HALF-NELSON Gripping action as prince and heir admits following Charles’s mistress endlessly (4-6),"F[ollowing] + NEL[L Gwynn, Mistress of Charles II] in HAL + SON ",64
15. HAG Witch‘s laugh before midnight? (3),HA (laugh) + [ni]G[ht] ,23
17. COD Sham complaint Liberal’s dropped (3),COLD less L ,12
19. SHERIDAN Comic writer‘s novel managed to skirt round primitive urges (8),SHE (H Rider Haggard novel) + ID (primitive urges) in RAN (managed) ,68
20. SNAPPER Game for every paparazzo (7),SNAP (card game) + PER ,23
22. BEHEST Ambassador’s to be dressed in cream — and that’s an order (6),HE in BEST ,11
23. SCYTHE Loudly show irritation with article that’s cut (6),SCY (“sigh”) + THE ,19
25. SOLE Exclusive story’s beginning to get approval in Spain (4),S[tory] + OLE ,14
"1 BLACK HOLES Most hockey balls become very dense objects (5,5)", (hocke{y} balls)* — ‘most’ = ‘mostly’ ,39
6 JOLT Write note about lecturer’s shock (4), jo(l)t ,8
10 RADIO Republican Bill Moon seen in sort of telescope (5), R ad Io — Io is one of the moons of Jupiter ,45
11 SATELLITE Excellent archer in place one is going round (9), s(A Tell)ite — ref William Tell ,33
12 ABNEGATE Deny scandal of sailor from Tyneside? (8)," AB NEgate — to add ‘gate’ to the end of something is to talk of it as being a scandal, ever since Watergate ",109
13 CANAL Part of an ear found in oilcan alarming (5), Hidden in oilCAN ALarming ,27
15 MERCURY Copper intervenes amid drunken element (7), mer(Cu)ry — merry = drunken ,29
"17 TRIES ON Trouble in store tests dress (5,2)", (in store)*. the anagram indicated by ‘Trouble’ ,49
19 AUNTIES Relatives use it and drop down in a heap (7)," (use it an{d})*, the d coming from ‘down’, which is dropped ",61
21 PIGMENT Colour is of little weight while in prison (7)," p(1 gm)ent — I don’t quite get this: ‘pent’ is a verb meaning ‘shut up’, but the way the clue is written, ‘pent’ = ‘prison’ — oh yesI see, Chambers gives ‘prison’ as a poetic verb meaning ‘imprison’ soI think that’s what’s happening ",234
22 SABRE Cutter put back in wicker basket (5), Hidden reversed in wickER BASket ,34
24 MOONWALK Dance performed by Alan Bean and Pete Conrad (8), Alan Bean and Pete Conrad walked on the Moon ,46
"27 DEEP SPACE Limit velocity returning to Earth from out here (4,5)", (cap speed)rev. E ,19
28 DIRGE Good to stop awful song (5), dir(g)e ,9
29 RHEA Man showing artist round 11 (4), 11 being SATELLITE that’s the definition (Rhea is a moon of Saturn) — R(he)A ,78
30 ASTRONOMER One watching Sky on stream or off (10), (on stream or)* — Sky being a legally misleading version of sky Down ,70
1 BORE Stood and gave birth (4), 2 defs ,8
2 ALDEBARAN Academy has large study featuring rising tribal star (9)," A l de(bara)n, the bara being (Arab)rev. — Arab and tribal are adjectives ",75
3 KRONE Money found in Camden or Kensington to be given back (5)," Another hidden reversed, in CamdEN OR Kensington ",50
4 OSSUARY Not against a hint of salt in savoury recipe that contains bones (7), s{alt} in (sa{v}oury)* — recipe the anagram indicator —v = against — an ossuary is a chest etc that holdsskeletal remains ,123
5 ENTREAT Plead with nurse to carry out doctor’s orders (7), EN treat ,10
7 ORION Gold particle hunter (5), or ion — Orion the hunter is also a constellation ,51
"8 THE PLANETS Races across fashionable street with intro for short piece of music (3,7)", T(hep lane)T s{hort} — ref The Planets by Holst ,49
9 FLICKING Going on and off loudly using tongue (8), f licking ,11
14 AMBASSADOR Welsh politician low on gas receives note from diplomat (10)," AM bass [= low] A(do)r — AM stands for Assembly Member (I had to Google this), the Welsh equivalent of MP so far as I can see, the gas is argon and the note is do ",164
16 UNIVERSE Academic poetry is everything (8)," uni verse — uni = university, which somehow = academic — perhaps it’s uni-verse, the verse that gets written at uni ",117
"18 STEEL DRUM Horse crossing line shown by odd instrument (5,4)", stee(l)d rum ,14
20 SAMPANS Dave’s mate looks for gold boats (7), Sam pans — I don’t think Sam refers to Mrs Cameron but to these people ,72
21 PIONEER One unit in a space probe (7), p(1 one)er — per = a as in two tablets per/a day ,50
23 BREVE Reverse echo misses right note (5), ({r}everb)rev. ,16
25 WIDEN Extend directions for preserving fish (5), W(ide)N ,9
1 AFTERMATH Effects of working at the farm (9), *(at the farm) ,16
"6 ARMED Capone leaves in a panic, carrying a gun (5)", ALARMED (“in a panic”) minus AL (Capone)  ,43
"9 SIKHS Is in pursuit, we’re told, of some Indians (5)", homophone of SEEKS (“is in pursuit of”) ,41
10 COWARDICE Noel’s reserve may indicate cold feet (9)," (Noel) COWARD + ICE 11 NINE TO FIVE The hourly grind, traditionally (4,2,4) Slightly cryptic definition ",105
12 STET Instruction to restore original test (4), *(test) “Original” is not one of my favourite anagrinds. ,58
"14 NOT ONCE Evil doctor and French NCO involved? Never! (3,4)"," (Doctor) NO + *(et NCO)? Surely, this should not have got past the editor! Or am I just missing something? ",108
"15 REHEATS Weather’s changeable, apart from capital – warms up again (7)", *(eather’s) Capital (ie first letter0 removed from weather’s ,62
"17 ULSTERS Even bits of quilts, cut short, go to make overcoats (7)"," (q)U(i)L(t)S + TERS(e) “Even bits of quilt” – the 2nd, 4th, 6th letters TERSE = “short”, but it’s been cut, therefore TERS ",124
19 GEYSERS Water features of Iceland old men reported (7), Homophone (indicated by “reported”) of GEEZERS ,48
20 ACHE In her heart Jacob’s wife has to suffer (4)," r(ACHE)l In the Old Testament, Rachel was Jacob’s wife. ",57
"22 JOB ANALYST Employment expert as a tormented man’s psychiatrist? (3,7)", JOB (“tormented man” in the Bible) + ANALYST (“psychiatrist”) ,63
"25 GAME CHIPS Golf eg, with some shots can win fortunes (4,5)", GAME + CHIPS ,14
26 OMEGA Nothing very much comes at the end (5), O + MEGA ,10
27 AGNES Virginal saint sang with ecstasy under torture (5), *(sang + e) Saint Agnes of Rome was a virgin-martyr ,53
"28 GAS METERS Sort of great mess often found below stairs (3,6)", *(great mess) Down ,20
"1 ARSON The crime of war, so Napoleon said (5)"," hidden in “wAR, SO Napoleon” ",30
"2 TAKE NOTES Accept bribes, perhaps, as a reporter should do! (4,5)"," Double definition, with the former slightly cryptic 3, 19 ROSE-TINTED GLASSES Pollyanna’s visual aid? (4-6,7) As worn by an optimist. Pollyanna was the eponymous hero of a 1913 children’s novel. Her undying optimism has led to her name becoming synonyymous with “optimist”. ",275
"4 ARCH FOE The Napoleon of crime was Sherlock’s, he said (4-3)", Is this cryptic? ,18
"5 HOWEVER We join “stationary” flight, regardless (7)"," HO(WE)VER I haven’t come across “join” used in this way before, but as far as I can work out, it is being used in the sense of “to go to and remain within” such as to “join a club”? ",183
6 AIRS Broadcastsput on by the pretentious (4), Double definition ,19
"7 MOIST I go with the majority, being a bit wet (5)", MO(I)ST  ,10
"8 DUETTISTS Players with the same score, presumably (9)"," Cryptic definition 13 THE YEAR ONE Very first twelve months, you might say (3,4,3) Is this even a phrase? I’ve heard of YEAR ONE, but not THE YEAR ONE.  ",154
14 NEURALGIA Pain – one in lung area after injury (9), *(lung area + i) ,18
16 ACETYLENE Gas is unstable yet clean energy (9), *(yet clean) + E (“energy”) ,29
18 SLOPING Inclined to be shy about work (7), SL(OP)ING “shy” as in “coconut shy” ,37
"19  See 3 21 HUMAN Heads of hospitals, unlike matrons, almost never appear in person (5)", Heads (ie first letters of) of “Hospitals Unlike Matrons Almost Never” ,72
23 TRAMS Spruce up public transport (5), <=SMART ,9
"6  Australian red of little value, mostly (5)",   COMMON (of little value) excluding the final letter (mostly) N    COMMO (Australian word for a communist [a red])  ,118
"10  Institute, arranged food riot, taking power – simple! (10)","   I (institute) + (an anagram of [arranged] FOOD RIOT containingP [power]) I DIOT (P) ROF*   IDIOTPROOF (of a tool, device, machine, method of working, etc, so simple that even an idiot cannot make a mistake) ",210
11  River in Yorkshire spread (3),   AIRE (river in Yorkshire)  E  AIR (spread)  ,47
14  All people in the beginning rage about disease (8),"   Anagram of (about) ALL and P (first letter of [in the beginning] PEOPLE) and RAGE PELLAGRA*   PELLAGRA (a chronic disease marked by shrivelled skin, wasted body, mental illness and paralysis, caused by a dietary deficiency of nicotinic acid)  ",246
15  Shaft newspaperman subjected to forfeit (5),   LOOM (shaft of an oar) + ED (editor; newspaperman)  M  LOOED (subjected to a forfeit in the card game LOO)  16  x (4)       BLUE   ,134
17  Rebel set up film studio (7),"   Anagram of (up) REBEL and SET ELSTREE B* B  ELSTREE (film studios in Hertfordshire, England)   ",98
18 Catch anthrax holding llama’s tail (4),   SANG (veterinary term for anthrax) containing (holding) A (last letter of [tail] LLAMA) SN (A) G A  SNAG (catch)  ,117
19  A great number reduced in addition? (3),   TROOP (a great number) excluding the final letter (reduced) P  R  TOO (also; in addition)  ,94
21  More than one ancient African ruler surrounding Zambia succeeded (5),  ,2
1 ASTROPHYSICIST A small cup is returned to old box in May perhaps (14)," A S (small) TROPHY (cup) IS reversed (returned) to CIST (old box for holding bones) – Brian May, better known as the lead guitarist and co-founder of the rock band Queen. May holds a PhD in astrophysics (which took 37 years to complete!) and now collaborates with various academic and scientific institutions. ",311
"10 PSALM Parish singers always love music, primarily church music (5)"," P (parish) then Singers Always Love Music (primarily, first letters of) ",73
11 OCCASIONS Causes hole in footwear heading off (9), O (a hole) in mOCCASINS (footware) missing heading (first letter) ,67
12 ELEVATE Lift European tax shelter controls (7), E (European) then VAT (tax) in (controlled by) LEE (shelter) ,62
"13 AMNESIA State in which men get confused, incontinent? (7)", MEN* anagram=confused in ASIA (in continent) – definition is partly &lit ,74
14 E-BOAT Devour over half of book in vessel (1-4)," EAT (devour) contains (over) BOok (half of) – Enemy-Boat, the allied name for the German Schnellboot, a small and fast torpedo boat ",133
"16 TOM PEARCE Noted horse owner in furious race with poet over miles (3,6)"," anagram (furious) of RACE with POET containing (over) M (miles) – character from the song Widecombe Fair: Tom Pearce, Tom Pearce, lend me your grey mare. All along, down along, out along lea. For I want for to go to Widecombe Fair, With Bill Brewer, Jan Stewer, Peter Gurney, Peter Davy, Dan’l Whiddon, Harry Hawke, Old Uncle Tom Cobley and all, Old Uncle Tom Cobley and all. ",377
"19 INTERPRET Crack team, mostly attractive (9)"," INTER (Inter Milan, football team) tehn PRETty (attractive, mostly) ",69
20 EVITA She showed some initiative after revolution (5), found inside (some of) initiATIVE reversed (after revolution) – definition is semi-&lit ,89
22 ANDROID Designer genes backfired in robot (7), DIOR (designer) DNA (genes) reversed (backfired) ,50
25 BALDWIN Smooth victory in Stanley (7)," BALD (smooth) WIN (victory) – Stanley Baldwin, former British Prime Minister ",78
27 IMPARTIAL Just one priest stops fighting (9)," I (one) then P (priest) inside (stops, like a cork) MARTIAL (fighting) ",72
"28 GETTY Crude tycoon, say, rebutted Times leader of yesterday (5)"," EG (say) reversed (rebutted) the TT (time, two of) and Yesterday (leader, first letter) – a crude oil magnate ",111
"29 SHOPPING CENTRE It’s bustling at weekend, yet implicitly very quiet (8,6)"," SHOPPING CENTRE implies that the centre of shopping is PP (pianissimo, very quiet) Down ",89
2 SCAPEGOAT Patsy invests a small stake in second film (9), PEG (a small stake) inside (invested by) S (small) and COAT (film) ,68
3 RUMBA Dance with odd beat every now and then (5)," RUM (odd) and BeAt (regular selection from, every now and then) ",65
4 PROTESTER He objects to badger being fed rubbish (9), PESTER (badger) containing (being fed) ROT (rubbish) ,54
5 YUCCA Precision soars after scrapping vehicle plant (5)," ACCUracY (precision) reversed (soars, goes up in a down clue) missing CAR (vehicle) ",85
6 INSINCERE Untruthful couples used to live here before nursing college (9), IN SIN (where non-married couples used to live) and ERE (before) containing (nursing) C (college) ,99
7 IRONS Actor’s clubs (5), double definition – actor Jeremy Irons ,40
8 TESTATE He’s left Will close to vast demesne (7), vasT (closing letter of) and ESTATE (desmesne) – cf last will and testament ,77
9 SPHERE Notice indicating location of bookmaker’s ball? (6), “SP HERE” (starting prices here) might be written on a whimsical notice indicating the location of a bookmaker ,112
15 TURBOPROP Use it to fly-fish endlessly for profit at first (9)," TURBOt (fish, endlessly) PRO (for) Profit (first letter of) – I am reminded of an old friend who carefully added a letter T on the back of his car so that he drove round in a Saab Turbot ",188
"17 METABOLIC Lad’s briefly into rock music, in charge of generating energy (9)"," BOy (lad, briefly) in METAL (rock music) then IC (in charge) ",62
18 RAINWATER Gunners taking a bath or shower? (9)," RA (Royal Arillery, gunners) IN WATER (taking a bath) ",55
"19 ITALICS Sort of socialist, extremely liberated type (7)", anagram (sort of) soCIALIST missing (liberated) SO (extremely) ,64
"21 ANNOYS A racket, say, and what it does (6)", sounds like (say) “a noise” (a racket) ,40
23 DIPSO Drunk is necking quietly during party (5)," IS contains (necking, drinking) P (piano, quietly) inside (during) DO (party) ",79
24 DEIGN Consent to plan to abandon Sweden (5), DEsIGN (plan) missing (to abandon) S (Sweden) ,47
"1 PERFECT Polishmodel, downrighttense (7)"," =Polish as a verb, =model and =downright as an adjective, =a form of past tense. 5 SUPREME Crowning the young Diana R.? (7) as in “crowning achievement”. Diana Ross was a member of the SUPREME[s][wiki], before her solo career. ",228
9 AKITA Self-help group cuddling cat and dog (5)," a Japanese dog [wiki]. A[lcoholics] A[nonymous] is the “Self-help group”, around KIT=”cat” ",92
10 OCTOPUSES Part of autumn operation employs army swimmers (9)," “army” as in having many arms. OCT[ober]=”Part of autumn”, plus OP[eration], plus USES=”employs” ",98
"11 GOING SPARE Seeing red blood around home, gasp fearfully (5,5)"," GORE=”blood”, around all of: IN=”home” plus (gasp)* ",53
12 BRAN Health food bargains offered regularly (4), letters taken regularly from B[a]R[g[A[i]N[s] ,47
"14 BLANK CHEQUES Born with limp, Eastern European’s heard these offer complete freedom? (5,7)"," B[orn], plus LANK=”limp”, plus CHEQUES sounds like ‘Czech’s’ i.e. “Eastern European’s heard” ",94
"18 HARD SHOULDER Edge along road, closely pursued by bear (4,8)"," HARD=”closely” as in ‘hard by’, plus SHOULDER=”bear” ",54
"21 ARID Dry, cold deserts stinging nose (4)"," A[c]RID=”stinging nose”, with c[old] leaving/deserting ",56
"22 COASTGUARD They rescue you, reportedly trapped by retired bore on cruise (10)"," U=”you, reportedly”, inside DRAG reversed=”retired bore”, all after COAST=”cruise” as in ‘coasting along’ ",107
25 DAMNATION Curses mother country (9)," DAM=”mother”, plus NATION=”country” ",37
"26 NYMAN English scorer scores, moving yard forward after Nasri’s header (5)"," Michael Nyman [wiki] is an English composer of scores, i.e. a scorer. MANY=”scores”, with Y[ards] moving forward, and all after N[asri] (the name of a footballer) ",164
"27 MAXIMUM Most saying, “I can’t think what to say” (7)"," MAXIM=”saying”, plus UM=”I can’t think of what to say” ",56
"28 ARSENIC As nice as ever, First Lady ignored straying (7)"," As is the chemical symbol for Arsenic. (nice as ever)*, ignoring Eve=”First lady” Down ",88
1 PRANGS Called with afterthought about accidents (6)," RANG=”Called”, with PS=”afterthought” around it ",49
2 RAISIN Water is assumed to be ingredient in fruit cake? (6)," RAIN=”Water”, with IS “assumed” or taken in ",45
3 EVANGELISE Try to convert Senegal? I’ve failed (10), (Senegal I’ve)* ,17
"4 TROOP March is bad time, on reflection (5)"," POOR=”bad”, plus T[ime], all reversed=”on reflection” ",55
5 SATIRICAL Mocking idiotic racialist (9), (racialist)* ,14
6 PAPA Feature of mum first to attract dad (4)," PAP=nipple or breast=”Feature of mum”, plus A[ttract] ",55
"7 ENSHROUD Veil females head to toe, uniformity primarily secured by lash (8)"," HENS=”females”, with the “head” H moved to the end or “toe”, plus U[niformity] inside ROD=”lash” ",98
8 EASINESS Function central to each empty sports facility (8)," SINE=”Function”, in the centre of EA[ch], plus S[port]S emptied out ",69
13 DETERGENTS Prevent gains being split by nucleus of money launderers (10)," DETER=”Prevent”, plus GETS=”gains” split by [mo]N[ey] ",55
"15 NEOLOGISM Manspreading, perhaps, blighting men’s igloo? (9)", “Manspreading” [wiki]is a neologism. (men’s igloo)* ,53
