clue,exp,len
5 BARBELL Weightlifter’s companion and I might ring last orders (7)," This initially seemed like two definitions, but I’d guess BAR BELL needs a space, making that the wordplay. ",109
6 TESLA Unit of beer model-type upset over head of studio (5), S[tudio] in (ALE + Model T Ford).<. ,37
"7 HARD DRIVE Bit of computer kit in the Paris-Dakar rally? (4,5)", The rally being an example of a DRIVE that is particularly HARD. 8 DRAWN  Charge written up (Queen’s bottom pinched) (5) WARD< + [quee]N. ,139
14 UNADORNED Plain rude to mess around with a northern don (9), Anagram of (RUDE + A + N + DON). ,34
16 PANHANDLE  Police head new plan to ask for change in America (9), Anagram of (HEAD + N + PLAN). ,31
17 GASSINESS  Doctor assessing condition of long-winded patient? (9), Anagram of ASSESSING. ,23
19 ENTRIES  Shaven-headed folk who might who guard The Doors? (7), [s]ENTRIES. ,13
20 BECOMES Suits initially criticised medal won by those with the best knees? (7), (C[riticised] + OM) in BEES. Reference to particularly good things being “the bee’s knees”. ,93
21 EIDER  Ecstasy Hoskins had with Her Maj and a flapper (5), E + I‘D + ER. ,15
22 ISSUE  One’s certain to do away with royal children (5), IS + SU[r]E. ,14
1 BHANGRA Drug-led artist in crossover style (7), A charade of BHANG and RA. ,28
6 TICTAC Telegraphy switching parts of battle plan (6)," TACTIC with its parts exchanged. TIC-TAC (which is hyphenated) is the system of hand and arm signals (formerly?) used by racecourse bookmakers. It can be tricky with this sort of clue to determine which part of the clue is the definition and which the wordplay, but the crossing letter at 9 down left no room for doubt. ",321
11 THEOBROMA Broom fashioned in tea-tree or chocolate tree (9), *BROOM in THEA (the tea genus). Theobroma is the cocoa genus. ,63
13 BRAXY Diseased sheep unknown in pound (5)," X in BRAY. I was unfamiliar with this word and with the secondary meaning of BRAY – “to break, grind or pound”. ",113
14 LADEN Left port with cargo aboard (5), L ADEN. A delightfully simple clue that would not be out of place in a daily cryptic. ,87
15 BABOONISH Clumsy mistake involving an asset (9), A BOON in BISH. ,17
"16 HISPID What identifies him includes start of petulance, bristly (6)"," P(etulance) in HIS ID. 18 MAKAR E.g. McGonagall, larger part of destiny saved to the end (5) KARMA with the first three letters moved to the end. Some might argue that although McGonagall was Scottish, it is stretching things to call him a poet. ",247
"20 SACROSANCTITY I say contract’s to be rewritten, ensuring inviolability (13)", *(I SAY CONTRACTS). ,21
22 OMAHA Large part of tomahawk may be unearthed here (5), Hidden in “tomahawk”. I’m not sure that this qualifies as an & lit: perhaps a semi-& lit? ,91
24 USEDNT Rock tunes – Dominican initially involved was not in the habit (6)," D(ominican) in *TUNES. 28 DE RIGUEUR I’d urge breaking with Europe, as fashion dictates (9, 2 words) *(ID URGE EUR). ",118
30 EDITH Work on copy of Hockney’s head – a female (5), EDIT H(ockney). ,17
31 TESLA T junction of routes with lane is spanned by it (5)," Hidden in routes lane. Tesla is a derived SI unit, the unit of magnetic flux density, whose symbol is T. ",106
32 ROBOTISES Excludes human agency from boosters misguidedly I installed (9), I in *(BOOSTERS). ,19
"33 SCENIC Special production of Cenci, spectacular (6)", S(pecial) *CENCI. ,19
"34 TSETSES Nasty nippers, group of six playing around with son joining in (7)"," S in SESTET, with the two parts exchanged. I must confess that I find it hard to distinguish this type of clue from the indirect anagram, which Azed explicitly disavows. Down ",176
1 BOBBYSOXERS Cop’s jumping obstacles for US teenagers (11), BOBBY’S over OXERS. This word now has a rather dated feel to it. ,66
2 HORAH Cheer following tart round dance (5), RAH following HO. ,19
3 ARABICA Coffee from the fringes of Colombia after an early harvest (7), A RABI (a spring grain harvest) C(olombi)A. ,45
4 NAXOS Greek island temple with cross inside (5), X in NAOS (a temple). ,23
5 RHENISH Wine: a dash of red with chicken is set before husband (7), R HEN IS H. ,13
6 TOPS Drunk up about a quarter of pint at most (4)," P (one of four letters, a quarter, in PINT) in SOT (rev). 7 CRAVAT Fizz, tons taken about first in race. Ascot perhaps? (6) R in CAVA, T(ons). The full stop in the clue is to disguise the fact that ascot does not need to be capitalised. ",238
8 TODO Weight of old wool on top of old bustle (4)," TOD (an old wool weight, around 28 lb.), O. ",45
9 AMEBA Protean US creature mounting a rostrum (5)," A BEMA (rev). I was only vaguely familiar with a bema, and got the answer from the definition. ",96
"10 CANARYGRASS Source of bird seed, kilo lost from bursting granary sacks (11)", *(GRANARY SACKS) less K. ,26
12 EPIDAURUS Good place for open-air theatre? Paid misguidedly with wind around (9), *PAID in EURUS (the south-east wind). The second (and perhaps less familar) Greek place name in this puzzle. ,110
"17 INSIDES Playing team games, requiring guts (7)", IN SIDES. ,11
19 KINESIS Energy put into family’s lives stimulated movement (7), E in KIN’S IS. 21 RHYTON Cup (old) that is found in fashioned horn (6) YT (a very old form of THAT) in *HORN. ,111
23 MEDOC This will be imbibed in some do copiously (5), Hidden in “some do copiously”. Our second type of wine. ,57
25 DUETT Small group as is proper with end of concert given encore (5), DUE (concer)T T. The second T is the encore. I’m not entirely happy with the definition; can two people fairly be defined as a small group? ,141
26 TULLE Hat material? Third of sale goes in a rush (5)," L (third letter in saLe) in TULE (a kind of bulrush). 27 GIBE Boiled egg? It’s e.g. old toying with this scoff (4) A compound anagram; combine GIBE and EG OLD to produce BOILED EGG, or rather reverse the process to obtain the answer. ",235
1 COALESCE Join together in company with drinks before church (8), A charade of CO (‘company’) plus ALES (‘drinks’) plus CE (‘Church’ of England). ,81
5 ABACUS Device for calculating area covered initially in a vehicle (6), An envelope (‘in’) of AC (‘AreaCovered initially’) in ‘a’ plus BUS (‘vehicle’). ,81
"10 PORCELAIN China, clear about power, ignoring France (9)"," An envelope (‘about’) of [f]ORCE (‘power’ – for once not indicating P; scientists might complain that power and force are different, but in common use the two are blurred) minus the F (‘ignoring France’) in PLAIN (‘clear’). Coming to this with the initial P in place, my first reaction was PAL…, from the rhyming slang China plate/mate; but it was not to be. ",360
"11 CRAWL Car may well, at regular intervals, move slowly (5)"," Alternate letters (‘at regular intervals’) of ‘CaR mAyWeLl’, with an extended definition, unfortunately. ",106
12 EARLY Nobleman unknown in advance (5), A charade of EARL (‘nobleman’) plus Y (mathematical ‘unknown’). ,65
13 SHORTENED Reduced number in coastal region by day (9)," An envelope (‘in’) of TEN (‘number’) in SHORE (‘coastal region’) plus D (‘day’). 14 KNOCK SPOTS OFF Easily outdo spies, sour after setback (5,5,3) A charade of KNOCK (‘setback’) plus SPOTS (‘spies’) plus OFF (‘sour’ eg. of milk) ",230
18 DISPARAGEMENT Ridicule inspector and anger people in quarrel (13)," A charade of DI (Detective ‘Inspector’) plus SPARAGEMENT, an envelope (‘in’) of RAGE (‘anger’) plus MEN (‘people’) in SPAT (‘quarrel’). ",137
20 IMMODESTY Arrogance in memo I’d amended with pen (9)," A charade of IMMODE, an anagram (‘amended’) of ‘memo I’d’, plus STY (‘pen’). ",78
"23 UNITS Modules among best in use, on reflection (5)", A hidden (‘in’) reversed (‘on reflection’) answer in ‘beST IN Use’. ,69
"24 TENCH Unpleasant smell, not first to indicate fish (5)", A subtraction: [s]TENCH (‘unpleasant smell’) minus its initial letter (‘not first’). ‘to indicate’ just links wordplay to definition. ,135
25 COUTURIER One delivering messages around Utah for designer (9), An envelope (‘around’) of UT (US Postal Service approved abbreviation for ‘Utah’) in COURIER (‘one delivering messages’). ,123
26 DARING Bold call led by lawyer (6)," A charade of DA (District Attorney, American ‘lawyer’) plus RING (‘call’). ",76
"27 THIEVERY Stealing hearts during match, especially (8)", An envelope (‘during’) of H (‘hearts’ in card games) in TIE (‘match’) plus VERY (‘especially’). Down ,102
1 COPPER Element about work upset agent (6)," A charade of C (circa, ‘about’) plus OP (opus, ‘work’) plus PER, a reversal (‘upset’ in a down light) of REP (sales ‘agent’). ",127
4 CLASS Outstandinglesson (5)," Double definition (“a class act”). 6 BACK TO THE FUTURE Cut rebuke of that complicated film about time travel (4,2,3,6) An anagram (‘complicated’) of ‘cut rebuke of that’. ",173
7 CHAIN Tea? New range (5), A charade of CHAI (‘tea’) plus N (‘new’). A variant of CHA or CHAR. ,69
8 SOLIDIFY Freeze sauce to retain top condition (8), An envelope (‘to retain’) of LID (‘top’) plus IF (‘condition’) in SOY (‘sauce’). ,82
"9 UNCOUPLE Separate northern takeover, in principle, not right (8)", An envelope (‘in’) of N (‘northern’) plus COUP (‘takeover’) in [r]ULE (‘principle’) minus the R (‘not right’). ,112
"15 KNAPSACK Spring up, diving into gift bag (8)"," An envelope (‘diving into’) of APS, a reversal (‘up’ in a down light) of SPA (‘spring’) in KNACK (‘gift’). 16 ON THIN ICE Nothing pleasant about silly hint in a risky situation (2,4,3) An envelope (‘about’) of THIN, an anagram (‘silly’) of ‘hint’ in O (‘nothing’) plus NICE (‘pleasant’). ",289
"17 ADMITTED Hand in a legal document, not English? It’s accepted (8)", An envelope (‘in’) of MITT (‘hand’) in ‘a’ plus DE[e]D (‘legal document’) minus one E – your chioce – (‘not English’). ,120
19 ASTRAY Off course since daylight’s last gleam (6), A charade of AS (‘since’) plus T (‘daylighT‘s last’) plus RAY (‘gleam’). ,74
"21 MANOR Neighbourhood style, according to report (5)", A homophone (‘according to report’) of MANNER (‘style’). ,58
"8. EGO Self altogether absorbing, on reflection (3)",Hidden in reverse of altOGEther ,32
"9. ASKING PRICE Regal horror actor is what one’s demanding? (6,5)","AS KING (regal) + [Vincent] PRICE 11*. D[IX]IELAND Stop to catch a genre of music (7)DIE (stop) + LAND (to catch, e.g. fish) ",125
12. BIOTECH Ice melts with both micro-organisms used in this industrial research (7),(ICE BOTH)* ,12
23. TIP-TOP Best reverse narcotic hell (3-3),Reverse of POT (narcotic) + PIT (hell) ,39
"25. NOSTRIL When messed up, I snort line — through here? (7)","(I SNORT L)* 27*. POULENC Having lost capital, person in the money shortly (7)[S]OUL in PENC[E] – probably the best-known composer of the group 28*. TAILLEFERRE Dog stray — feel terrible about it (11)TAIL + ERR in FEEL*. The only female member of Les Six ",255
29. TAB Marker hit from behind (3),"Reverse of BAT (to hit) Down 1*. HENDR[IX] Old plucker, one treating a chicken? (5)HEN DR (doctor) 2*. HONEGGER One disinclined to pass round wine, Women’s Institute getting wasted (8)WINE less WI in HOGGER (one who hogs the ball, i.e. is disinclined to pass, e.g. in football) ",278
"3. LAVATORY Pan, a vessel fed to small bird (8)",A VAT in LORY ,14
"4. SKID Vicious circles ending in heartbreak, lose control (4)","[heartbrea]K in SID (Sid Vicious, member of the Sex Pistols) ",61
5. SNUB Disregard baker’s produce flipped over (4),Reverse of BUNS ,16
"6. RISE UP Revolt in Peru is revolutionary (4,2)",(PERU IS)* ,11
"7. CEPHALIC Heady record in the cup, detailed (8)",EP in CHALIC[E] ,16
"10. PRONG Out to replace leader, that’s the point! (5)","WRONG (out) with the first letter changed. I’m not keen on clues like this where the replacement is not specified (maybe point is doing duty for P, but that’s not in Chambers or anywhere else I can find as an abbreviation)  ",224
14. SWARD Grass with designs on getting high? (5),Reverse of DRAWS (designs) ,27
15. MOIST Tearful film about love (5),"O in MIST 16*. DOMINATR[IX] Perfect hosts a horror ultimately, under party chief whip? (8)DO (party) + A in MINT (perfect) + [horro]R. Somehow I can’t help being reminded of the story of Norman Lamont and Miss Whiplash ",219
18. AMPOULES Poor Paul requires some medical containers (8),(PAUL SOME)* ,13
19. ROOMETTE Force into burrow one’s rear — there’s little space (8),"MET (police force) in ROOT (burrow) + [on]E 21. LESSIX/LESSIX [unclued]To be read as LES SIX for the first type of asterisked clue, and LESS IX for the second ",159
"22. APRIL A threesome at cards, missing a spring? (5)","A + PRI[A]L. Prial is “three cards of the same denomination” in various games, so a “threesome”, though not in the sense of three players, as the surface suggests  ",164
24. SCUBA Southern island going down kitted up (5),S + CUBA ,9
26. LEFT One way still to go … (4),Double definition ,18
1A SAUSAGES USA’s abandoned wise folk – they’ve been stuffed (8)," they’ve been stuffed! / SAU (anag, i.e. abandoned, of USA) + SAGES (wise folk) ",80
"6A GREY & 27 Province following the PM? Not too clear, that (4,4)"," not too clear, that / GREY (Earl Charles Grey, UK Prime Minister, 1830s) + AREA (region) ",90
"9A DIAGRAM Plan produced by heartless, beastly mother, confiscating sex rejuvenator, “very lacking” (7)"," plan / D(A)_M (general term for an aimal, or beastly, mother, missing A – middle letter, or heart), around (V)IAGRA (sex rejuvenator, lacking V – very) ",153
10A LATVIAN European’s valiant “Out!” (7)," European / anag, i.e. out, of VALIANT ",39
11A VIEWPOINT Eye has tip: “Angle” (9), angle / VIEW (eye) + POINT (tip) ,34
"12A NORTH & 23 Hooker ran off on receiving Trump’s introduction – troublesome state! (5,5)"," troublesome state / NOR_H KOREA (anag, i.e. off, of HOOKER RAN) around T (introductory letter of Trump) ",105
13A SUNSET Murdoch organ fixed – and so ends our enlightenment? (6)," so ends our enlightenment (each day) / SUN (Murdoch organ) + SET (fixed) 14A THE DUMPS See 21dn. (3, 5) see ",109
21D / see 21D 17A OCCASION Is smeared with cocoa at start of new party (8)," party / OCCASIO (anag, i.e. smeared, of IS and COCOA) plus N (starting letter of New) (or…OCCASIO before, i.e. at the start of, N – new?) ",139
"19A ICE TEA Drink that is maintaining Conservative line-up without May’s lead (3,3)"," drink / I_E (id est – that is) around (maintaining) C (Conservative) + TEA(M) (line-up, without M – leading letter of May) ",124
"22A BLANK Second-rate, flaccid? Ignore (5)"," ignore (someone) / B (second-rate) + LANK (flaccid) 24A DROP A HINT Be suggestive and trendy in kinky hard top (4,1,4) be suggestive / DROP A H_T (anag, i.e. kinky, of HARD TOP) around IN (trendy) ",198
25A LIBERAL Progressive spewed bile at Republican vice president (7)," progressive (politically) / LIBE (anag, i.e. spewed, of BILE) + R (Republican) + AL (Al Gore, former US VP) ",109
26A NOMADIC Unstable domain : country’s leader is all over the place (7)," all over the place / NOMADI (anag, i.e. unstable, of DOMAIN) + C (leading letter of Country) 27A AREA See 6ac. (4) see ",120
"6A / see 6A 28A SUNDRIES Sun: “Queen in lingerie”, and miscellaneous items (8)"," miscellaneous items / S (sun) + UND_IES (lingerie) around R (regina, queen) Down Clue No Solution Clue Definition (with occasional embellishments) / Logic/parsing ",164
2D ALAMEIN Two versions of Cyclops recruited by politician Johnson for the battle (7)," (WWII) battle (site, twice, in 1942) / ALA_N (Alan Johnson, Labour politician) around ME + I (two personal pronouns, or versions of Cyclops) 3D STRAPLESS Cut down on corporal punishment (held up by a couple of tits?) (9) (item of female clothing) held up by a couple of tits! / If one was to cut down on corporal punishmwent, one might STRAP LESS! ",349
4D GAMBIT “Sacrifice Green’s head!”: morning piece (6)," sacrifice / G (first letter, or head, of Green) + AM (morning) + BIT (piece) 5D SPLOTCHY Chary about conspiracy by Corbyn’s no. 1 (rather patchy) (8) rather patchy / S_HY (chary) around PLOT (conspiracy) + C (no. 1 letter of Corbyn) 6D GET ON Age of Blair? Not quite, after e.g. reversal (3,2) age / GE (e.g., reversed) + TON(Y) (not quite Tony – Blair) ",355
7D EPIGRAM Saying “Erdogan’s top swine” and stuff (7), saying / E (top letter of Erdogan) + PIG (swine) + RAM (stuff) ,64
"8D ENTHUSIASTIC I fiddled with scanties, thus endlessly eager (12)"," eager / anag, i.e. fiddled with, I + SCANTIES + THU(S) (endlessly) ",68
"9D DIVISION BELL A warning that has Tory rebels going their separate way? (8,4)"," &lit-ish/CD/charade?! / When the DIVISION BELL rings, Tory rebels might go a ‘separate way’, to vote against their party line?) 15D DECLAIMER “Balls lifted – some sort of miracle!” (rhetorical type) (9) rhetorical type / DE (Ed, Balls, erstwhile UK Labour politician, lifted) + CLAIMER (anag, i.e. some sort, of MIRACLE) ",322
16D HOLDALLS Lobbies about ‘old bags’ (8), bags / H_ALLS (lobbies) around OLD ,36
18D CHAMBER House of Commons kind of pot? (7), double defn. / the House of Commons is a (debating) CHAMBER; and a CHAMBER pot was kept under the bed for those caught short at night. ,136
20D TWIDDLE Spin is ultimately bullshit and piss (7)," spin / T (ultimate letter of bullshiT) + WIDDLE (urinate, or piss) 21D DOWN IN & 14 Miserable, rattled PM disowned Hunt (4,2,3,5) miserable / anag, i.e. rattled, of PM DISOWNED HUNT ",183
1 Dividing pound from fellow’s working capital (6), LONDON ON (working) inside L – pound & DON – a fellow ,55
"4 Basically, here in row 15 (2,6)"," AT BOTTOM Row 15 is thebottom line 10 Pitcher’s taunt having thwarted Ruth’s hit? (1,3,3,4) I GOT YOU BABE Baseball and the player BABE RUTH cryptically leading to the song ",174
11 Back from travel after success in exam (3), AGO A – good pass in exam & GO – travel ,41
12 Large inflatable nipple burst by the German comic (8), ZEPPELIN ZE – comically how Germans pronounce THE & a burst NIPPLE* ,69
13 Services for caravan wheel in its current condition (5), OASIS Cryptic def & O – wheel shape & AS IS – current condition ,65
15 Extremely racy novel arrangement might make Austen rich (10), RAUNCHIEST [AUSTEN RICH]*in a novel arrangement ,49
18 Wanting pair bagging a couple of Oscars? (4), POOR 2 x O(scar) inside PR – pair ,35
20 Main Oscar choices whittled down (4), ARCH Inside oscAR CHoices ,27
21 Tease hip Republican with comedy skin piercing (10), HYPODERMIC [HIP R(epublican) COMEDY]*teased ,45
23 Outspoken bright young whippersnapper (5), SONNY Sounds like SUNNY ,25
24 Vibration limited by plane manufacturer’s absorbent coat (8), BATHROBE THROB in the plane maker BAE ,39
27 Source of iron rule in strictly secular school? (3), ORE A secular school would have O – zero R(eligios) E(ducation) ,65
"28 Story of modern life in England: Uber all over the place (5,6)"," URBAN LEGEND [ENGLAND UBER]*all over the place 29 1a (19 only) caught by anybody playing Irish anthem (5,3) DANNY BOY End (19 – derriere) of (londo)N inside ANYBODY*playing ",174
30 Chap engaged in ogling? Not half (6), LECHER Half of CH(ap) inside LEER &lit I guess. Down ,54
1 Put down face up (4), LAID DIAL face reversed “up” in a down clue ,45
2 Marriage ring like the piggy-wig’s? (5)," NOOSE Well the pig has a ring O in its NOSE. Not overly convinced by the definition, either rather cynical or a meaning I’m not aware of, I’ve not got my online dictionaries working at present. ",195
"3 Big event for sports college, and sound equipment’s power’s down (8)", OLYMPICS POLY – college & MICS – sound equipment with the P(ower) moved down ,78
"5 Get fitter, time drops (5)", TRAIN T(ime) & RAIN drops ,27
6 Fur upset environmental group (6), OCELOT Reversed ECO & LOT for group. Never knowingly seen ocelot fur though ,77
7 Agent finally managed second class disguise (9), TRANSFORM End of (agen)T & RAN – managed & S(econd) & FORM – class ,68
8 Lunatic shows off behind lorry (10), MOONSTRUCK MOONS – shows offbehind & TRUCK ,44
9 Effigy stuffed with vile contents lit up with shame (8), GUILTILY Contents of (v)IL(e) & LIT reversed both stuffed in GUY – effigy ,75
14 Arm policeman with soldiers blocking minor thoroughfare (10), BROADSWORD D(etective) S(ergeant) & W(ith) & O.R. – soldiers all in a B – ROAD – minor road 16 ‘Endless Buns’: study on doughnut researchers’ relaxed attitude (9) UNCONCERN endless (b)UN(s) & CON – study & C.E.R.N. – the physicists under Geneva who look after a giant torus ,275
17 Identificationmarks (8), SPOTTING Double defintion ,27
19 Rider cycled here without hard seat (8)," DERRIERE RIDER*cycled & a not H(ard) (h)ERE 22 ‘Sirrah, go’ said sweet … (6) SYRUPY Sounds like Sirrah & PEE – “go” 24 … old Hindu gentleman, initially blaming archaism on deficient text (5) BABOO B(laming) A(rchaism) & adeficient BOO(k) ",239
"25 Beeb’s unending concerts, originally with Henry Wood (5)", BEECH BEE(b) & C(oncerts) & H(enry) ,37
4 Burn old note to make a gesture (6), BECKON BECK [burn – both Northern words for a stream] + O [old] + N [note] ,76
6 Sacked a politician for inflammatory release (8), FIREDAMP FIRED [sacked + A MP [a politician] ,46
9 Agent without sleep is irritable (6), SNAPPY SPY [agent] round NAP [sleep] ,38
10 Recommend against commander breaking an engagement (8), ADVOCATE V [against] + OC [commander] in A DATE [an engagement] ,65
11 Suggestive of the latest wrap-around dresses (11), REMINISCENT RECENT [latest] round MINIS [dresses] ,51
15 Nun died tragically in New Zealand (7)," DUNEDIN Anagram [tragically] of NUN DIED – a lovely surface but I know at least one person who won’t like this definition: setters usually these days say ‘somewhere in…’, I think – the same thing occurs in 14dn ",212
17 Philosopher behaved without sin? First class! (7), DERRIDA DID [behaved] round ERR [sin] + A [first class] ,57
18 Supply post providing grub (11), CATERPILLAR CATER [supply] + PILLAR [post] ,44
22 Dismissed with less than player in game (8), ROUNDERS R O [run out – dismissed – in cricket] + UNDER [less than] + S [player? – in bridge? – they usually come as ‘partners’ in crosswords: I’m not sure about this ,168
"23 Conflict by the sea, briefly gave enthusiasm (6)", WARMED WAR [conflict] + MED[iterranean] [sea briefly] ,55
24 Hear a gun going off in lecture (8), HARANGUE Anagram [going off] of HEAR A GUN ,44
25 More enthusiastic mourner (6), KEENER Double definition Down ,31
1 Officer knowledgeable about voucher (6), COUPON CO [officer] + UP ON [knowledgeable about] ,51
2 Collier harbours terror of psychic (4-6), MIND-READER MINER [collier] round DREAD [terror] ,50
3 Concerned with stout correspondent (8), REPORTER RE [concerned with] + PORTER [stout] ,47
4 Dominate finest horse (8), BESTRIDE BEST [finest] RIDE [horse] ,37
5 Caught spoiling sweet (8), CHARMING C [caught] + HARMING [spoiling] ,42
"7 A crazy, upwardly mobile architect (4)"," ADAM A + a reversal [upwardly mobile] of MAD [crazy] There’s a choice of architects here -William or one of his three sons, John Robert or James: Robert is perhaps the best-known ",180
8 Look both ways (4), PEEP A palindrome ,19
12 Our stamina is restored here (10), SANATORIUM Anagram [restored] of OUR STAMINA – I think the whole clue could be underlined ,91
13 Soldier to sack valet (8), RIFLEMAN RIFLE [*sack] + MAN [valet] [*apologies for the long delay in correcting this careless error] ,104
14 Boy embraces supporter winning gold in Canada (8), LABRADOR LAD [boy] round BRA [supporter] + OR [gold] – see comment on 15ac ,76
16 Some years with conservation group are corrupt (8), DECADENT DECADE [some years] + N[ational] T[rust] [conservation group] ,72
19 One man takes a long time producing artistic works (6), IMAGES I [one] M [man?] + AGES ,32
20 Knowing some nuclear chemistry (4), ARCH Hidden in nucleAR CHemistry ,34
