clue,exp,len
"28 Plant with aromatic seeds, as garage empty? (7)"," CAR AWAY (if the CAR is AWAY, the garage is empty. Let’s ignore multi-car households for the moment. I can’t remember when I last fitted a car into mygarage – the garage is usually too full of stored items [a euphimism for rubbish] to leave any room for the car) CARAWAY (plant with aromatic seeds) ",300
"29 Temperature found in simian, one dead (2,5)", (T [temperature] contained in (found in) APE [simian]) + ACE (one) AT PEACE (a euphimism for ‘dead’)  Down   ,110
2 English label put on before for furniture item (7), E (English) + TAG (label) + ERE (before) ÉTAGÈRE (a display stand with shelves for ornaments; furniture item) ,111
3 Tailless dog buries long-necked creature that’s smelling bad (5), FIDO (traditionally a common name for a dog) excluding the final letter (tailless) O containing (buries) ET (long-necked Extra Terrestrial creature from the film ET) FETID (stinking; smelling bad) ,198
"4 Current tester came across fracture, finally, in broken arm (7)", (MET [came across] + the final letter E of [finally] FRACTURE) contained in (in) an (anagram of [broken] ARM) AMMETER (an instrument for measuring current) ,157
6 Hose only used between poles (6), Anagram of (used) ONLY contained in (between) (N [north] and S[south]; reference poles of the Earth) NYLONS (stockings; hose) ,127
7 Clear quality is overcoming limits of production in plant (9)," (IS + first and last letters, PN, of [limits of] PRODUCTION) contained in (in) CRESS ([salad] plant) As this is a Down clue, IS is above [overcoming] PN CRISPNESS (quality of authoritativeness; clear quality) ",210
8 Old US lawman has to carry silencer (7)," EARP (reference Wyatt Earp[1848 – 1929], United States lawman) + LUG (to carry) EARPLUG (silencer) 9 Processed food, or the meat, going all the way down (4,4,2,3) Anagram of (processed) FOOD OR THE MEAT FROM HEAD TO TOE (going all the way down) ",246
15 Information on foreign country’s intimate parts (9)," GEN (information) + ITALIA (foreign country, Italia is the Italian for Italy) GENITALIA (intimate parts) ",106
18 Gap in line standing for disease (7)," HOLE (gap) contained in (in) (ARC [a line forming part of the circumference of a circle or any curve] reversed [standing], as this is a Down clue]) CHOLERA (disease) ",167
20 Agent isn’t getting to touch something up? (7), REP (representative; agent) + AIN’T (contracted form of is not; isn’t) REPAINT (touch something up) ,101
21 See 5  [KNICKER] ELASTIC 22 Priest requiring silence before a prophet (6)," ELI (priest) + SH (silence) + A  ELISHA (prophet) 25,",54
1. Criminal raced across a shopping precinct (6)," ARCADE An envelope (‘across’) of ‘a’ in ARCDE, an anagram (‘criminal’) of ‘raced’. ",84
4. Diplomatic in court in case of potential fault (7)," TACTFUL An envelope (‘in case of’) CT (‘court’) in TAFUL, an anagram (‘potential’) of ‘fault’. ",96
"9. In favour of appointment, in theory (11)", PROPOSITION A charade of PRO (‘for’) + POSITION (‘appointment’). ,66
10. What could be held by mourner? (3)," URN A hidden answer (‘what could be held by’) in ‘moURNer’, &lit ",66
11. Take flight from secluded place (7), RETREAT Double definition. ,28
12. Daughter led astray by former airline? Nonsense (7)," TWADDLE A charade of TWA (Trans World Airlines, ‘former airline’) + D (‘daughter’) + DLE, an anagram (‘astray’) of ‘led’. ",123
"13. Fluid we rub on baby in Bedfordshire mansion (6,5)"," WOBURN ABBEY An anagram (‘fluid’) of ‘we rub on baby’. Woburn Abbey, seat of the Duke of Bedford ",98
"15. For example, George Peppard’s lead heading Tarantino’s cast (6,5)"," PATRON SAINT A charade of P (‘Peppards lead’) + ATRONSAINT, an anagram (‘cast’) of ‘Tarantinos’. Definition: ‘for example, George’, the patron saint of England. The surface references to Hollywood make for an ingenious misdirection. ",234
"19. English deserter, through drink, makes a mistake (7)", ERRATUM A charade of E (‘English’) + an envelope (‘through’) of RAT (‘deserter’) in RUM (‘drink’). ,100
21. Mean to declare silver at the end of cruise (7)," AVERAGE A charade of AVER (‘to declare’) + AG (chemical symbol, ‘silver’) + E (‘at the end of cruisE‘). ",105
22. Sounds like bent grass (3), RYE A homophone (‘sounds like’) of “wry”. ,43
"23. Row after promise made to include league’s leader in baseball championship (5,6)", WORLD SERIES A charade of an envelope (‘to include’) of L (‘Leagues leader’) in WORD (‘promise’); + SERIES (‘row’). ,117
24. County containing power plant (7)," SPURREY An envelope (‘containing’) of P (‘power’) in SURREY (‘county’, south of London). Spurrey is a new one on me, although as a common weed I must have seen it often enough. Spergularia arvensis, corn spurrey ",213
"25. Small son, delicate (6)"," SLIGHT A charade of S (‘son’) + LIGHT (‘delicate’). I spent some time trying to equate ‘son’ with LIGHT, but this way it actually works. Down ",143
1. A steeple to rise to a great height (6)," ASPIRE A charade of ‘a’ + SPIRE (‘steeple’). ASPIRE generally conveys a desire, but Chambers does give a definition “to tower up”. ",132
2. Native American’s dog torn apart by wild cat (7)," CHOCTAW An envelope (‘torn apart by’) of CTA, an anagram (‘wild’) of ‘cat’ in CHOW (‘dog’). 3. Various nobodies needing time to make a useful contribution (2,4,3) DO ONES BIT An anagram (‘various’) of ‘nobodies’ + (‘needing’) T (‘time’). ",239
"4. Drayman’s T-shirt, shockingly novel (8,6)", TRISTRAM SHANDY An anagram (‘shockingly’) of ‘Draymans T-shirt’. Laurence Sterne’s novel comes up every now and then in crosswords; I blogged one such a few months back. ,171
5. Dance in study with Georgia (5), CONGA A charade of CON (‘study’) + GA (USPS-approved abbreviation for the state of ‘Georgia’). ,96
6. Factory set up by railway (7), FOUNDRY A charade of FOUND (‘set up’) + RY (‘railway’). ,57
7. Bird left in snare (6)," LINNET A charade of L (‘left’) + ‘in’ + NET (‘snare’). 8. Waving my cross – it’s free from religious order (7,2,5) SISTERS OF MERCY An anagram (‘waving’) of ‘my cross its free’. ‘From’ fits the surface, but in the wordplay suggests the wrong order of the clue’s components. ",275
"14. Groom’s partner, quite possibly in prison (9)"," BRIDEWELL A charade of BRIDE (‘grooms partner’) + WELL (‘quite possibly’, as, for example, “could well be”). Bridewell was originally a palace in London, built by Henry VIII, later a poorhouse and prison. The word lingers on as a generic name for a prison. ",258
15. Social climber’s rave-up disbanded around noon (7)," PARVENU An envelope (‘around’) of N (‘noon’) in PARVEU, an anagram (‘disbanded’) of ‘rave-up’. ",96
16. Doing business with a duke in Hertfordshire town (7), TRADING An envelope (‘in’) of A D (‘a duke’) in TRING (‘Hertfordshire town’). ,79
"17. Remains in Chermside, Brisbane (6)", DEBRIS A hidden answer (‘in’) in ‘ChermsiDE BRISbane’. Chermside is a suburb of Brisbane. ,91
18. Bidet’s cracked in flat (6), BEDSIT An anagram (‘cracked’) of ‘bidets’. ,44
1.It’s beginning to coagulate with very warm temperature? (5)," CHOTT  C[oagulate] + HOT + T &lit. Chott=shott = “a shallow watercourse or lake that tends to dry up in certain seasons”, so it doesn’t exactly “coagulate” ",157
5.Head-men stirring panic about palm tree (8), CAPITANI  ITA in PANIC* ,25
"11.Old oxen, head of redpoll et al? (7)", ROTHERS  R + OTHERS ,21
13.Press piece (4), IRON  Double definition – “piece” meaning “weapon” ,52
"14.Internet I consider with care, judging from hearsay (4)"," I-WAY  Homophone of “I weigh”. I’ve never heard of I-way fo the Internet, or, as Chambers puts it “Information superhighway”, which already seems a rather dated expression. ",174
15.Man cutting loses fourth of fingers – this’ll delay clotting (7), HEPARIN  HE + PARING less G (4th letter of finGers) ,53
16.Altered ‘zoom’ in mobile? It may help STD (13), METRONIDAZOLE  (ALTERED ZOOM IN)* ,35
17.Make fun of old medic diving into stream (6), BEMOCK  MO in BECK ,20
"20.Though not the first, customer’s fine concerning the runs? (9)"," LIENTERIC  [c]LIENT + ERIC (fine). Adjective from “lientery”, a form of diarrhoea = “the runs” ",96
27.Poet’s rival successfully has run in dash (6), EMRULE  R in EMULE (old form of “emulate”). This is two words according to Chambers ,85
"28.English left, unstable coterie, never getting in, requiring one to enthuse voters? (13)", ELECTIONEERER  E L + NE’ER in COTERIE* ,40
30.False rumours? One in a pack maybe (7), CANARDS  AN in CARDS ,22
"31.Collingwood catch? One in hoisted to leg, led astray (4)"," PAUL  A in PULLED (“hoisted to leg”, as a cricket stroke) less LED. A paul or pawl is “a catch engaging with the teeth of a ratchet wheel to prevent backward movement”, and Paul Collingwood is an England cricketer, so there are two definitions, ",246
32.Acknowledge what’s spent in Macau on women (4), AVOW  AVO (monetary unit in Macau) + W ,40
33.Our English takes in pull over in Scotland (7), OUT-OWRE  TOW in OUR E ,24
"34.Eponymous hero, person standing for art in things (8)", PERICLES  PER replaces ART in ARTICLES ,40
"35.A common street, look (5)", STRAY  ST + RAY.  Down ,24
"1.Prezzie time, half of microbrewery disposed of (6)", CRIMBO  Anagram of the first half of MICROBrewery ,51
2.Gardener accepting opposite points to poet at all events (6), HOWE’ER  W + E in HOER ,24
"3.Awfully hot and dry, I swallowed what moves up and down in the throat? (7)", THYROID  I in (HOT DRY)* ,26
4.Doctor to encircle description of certain chromosomes (11)," TELOCENTRIC  Presumably intended to be an anagram of (TO ENCIRCLE), but there’s a T missing, which I can’t see accounted for anywhere else. ",141
5.Ageless use of winch for measure of fish freshly landed (4), CRAN  CRANAGE less AGE ,24
6.I’m promised shelf in gym (7), PLEDGEE  LEDGE in PE ,22
"7.Fliers tense with gremlins about, revealing weaknesses (11)", IMPAIRMENTS  AIRMEN T in IMPS ,31
8.Any old cart shifting barrels on top (5)," ARROW  [b]ARROW. “Arrow” is an obsolete variant of dialect “ary”, meaning “any” ",81
9.What’ll emerge from combing formal dress with this yields thanks! (5)," NOILS  I nearly gave up on explaining this one, but it’s typical Azedian trickery: TAILS (formal dress) with NO ILS gives TA = thanks. The word means “short pieces of wool or other fibre separated from the longer fibres, e.g. by combing”. ",240
10.One won’t top bull that is getting tip of horn twice in rear of toreador (5), INNER  [hor]N twice in I.E.m + [toreado]R. The inner is the part of an archery target outside the bull ,104
12.Space filler bridging gap in thinnish impromptu (4), SHIM  Hidden ,14
18.Joint stuffed with fish left as something to go in the soup (7), KNEIDEL  ID in KNEE + L. A Yiddish word for a dumpling added to soup ,70
19.Soak provided reverses for old-time incendiary (7), FIREPOT  Reverse of TOPER IF ,30
21.Dad holding rule repositioned side-pieces (6), PLEURA  RULE in PA ,20
22.First pair for Kevin leaving centre of square? That’s Aussie leg-pulling (6), BERLEY  BERKELEY [square] less its central KE[vin] ,52
23.MP shows little depth in this summary (5), RECAP  REDCAP (Military Policemen) less D ,43
"24.Flamenco I’ve played? If me with this sort of castanet, no! (5)", CLAVE  Composite anagram: (FLAMENCO I’VE) * = IF ME CLAVE NO ,62
25.Translator holds one up producing exact legal transcript (5), TENOR  ONE rev. in TR ,23
26.Fair in due course repeated (4)," SO-SO  SO (in due course), twice ",34
1. Dance after quiet game (8), SOFTBALL BALL after SOFT ,26
5. Hack holding page showing prominent headline (6), SPLASH P in SLASH ,19
"9. One local person, about 100, is resting (8)", INACTIVE I+(NATIVE around C) ,30
10. Briefly express American position (6), STATUS STAT(e)+US ,19
"12. Flower standing in row, cut (5)", LUPIN UP[standing] in LIN(e) ,30
"13. Repulsive, smooth ale if off (9)", LOATHSOME (SMOOTH ALE)* ,25
"14. Film barrister attending meeting (5,9)", BRIEF ENCOUNTER BRIEF+ENCOUNTER ,33
"17. Money available for use by company run in Surrey town and London, perhaps (7,7)", WORKING CAPITAL (R in WOKING)+CAPITAL ,39
"21. In New Zealand, adult inhaling pipe gets a respiratory ailment (9)", INFLUENZA FLUE in IN+NZ+A ,27
22. Consider carefully course announced (5), WEIGH homophone: WAY ,22
23. Got the shakes in deprived area (6), GHETTO (GOT THE)* ,19
24. Sheriff’s officer upset employees (8), TIPSTAFF TIP+STAFF ,20
25. President’s first to speak in golf club (6), PUTTER P+UTTER ,16
"26. Popular batting order (2,6)", IN DEMAND IN(batting)+DEMAND Down ,35
1. Protect novice in cast (6)," SHIELD L[learner, novice) in SHIED[fling, toss] ",49
"2. She was a flighty young thing, and one likely to panic? (7)", FLAPPER cdd ,13
"3. Staff may make racket, working (5)", BATON BAT+ON ,14
"4. Even scores at cribbage? (5,7)", LEVEL PEGGING cd ref. cribbage board ,38
"6. Essential oil, oil university refined under cover (9)", PATCHOULI (OIL U*) after PATCH[cover] ,39
"7. Performs in a play abroad attached to different cast (4,3)", ACTS OUT OUT after (CAST*) ,28
"8. Inn shortly to be refurbished to accommodate engineers, initially (8)", HOSTELRY E(ngineers) in (SHORTLY*) ,36
"11. Support an outsider, reportedly a drunken reveller (12)", BACCHANALIAN homophone: BACK AN ALIEN ,39
15. Protocol quite absurd – letter required to dismiss banks (9)," ETIQUETTE (QUITE*)+(l)ETTE(r)[dismiss banks, i.e. sides) ",58
"16. Admitting having spell of prosperity (6,2)", OWNING UP cd ,14
18. Display mirror (7), REFLECT dd ,12
"19. Bail out a bishop, a hero of pantomime (3,4)", ALI BABA (BAIL*)+A+B+A ,24
20. Irritated husband in snack bar close to Anfield (6), CHAFED (H in CAFE)+(anfiel)D ,30
9. One learning a song — with time it will catch (6)," LARIAT L + ARIA + T, definition “it will catch”, as a lasso is intended to do. ",80
"10. Trees sent back, asking to be punctured? (4)"," SMUG <GUMS, with a cryptic definition – a smug person is “asking” for his ego to be deflated 🙂 ",96
"11. Navy worried about communications etc with 22 down in 8 20 (6,4)"," VANITY FAIR *NAVY around IT (Information Technology = “communications etc.”) + FAIR = “blonde” (see 22d.) The title of Thackeray’s novel is taken from this place in 8,20. ",172
12. Glorious day for 24 down? Not so important (6)," JUNIOR Well, the definition is “not so important”, but “Glorious day for gold”? Any suggetions welcome. Thanks to Duncanshiell for this and other explanations: it’s June 1st. Other posters have included links with information on the relevance of the date. ",257
14. Roman date for London hospital is unique (8)," NONESUCH NONES, along with “ides” and “calends”, indicated the time of the month in Ancient Rome. Then it’s University College Hospital. ",138
15. Wild ape challenged wolf for its companion in Cargoes? (7)," PEAFOWL *APE + *WOLF, the reference being a poem by John Masefield ",68
"17. Walking badly when topless on ecstasy, inducing trespass (7)", IMPINGE (l)IMPING + E ,23
20. Part of Troilus accepted by lodger sometimes found in Royal Society after 8 by … (8)," PROGRESS This time it’s (T)RO(ilus) in PG + (tim)ES in RS. 22. … tinker who sounds footsore (6) BUNYAN Homophone for “bunion”, for why “tinker”? I didn’t find this information when I looked him up in Wiki, but apparently Bunyan was the son of a tinker, and initially followed his father’s footsteps – probably literally 🙂 – thanks to stumped for this gem. ",357
"23. Doctor on vaguely central round does a spot of speculation (5,5)"," MONTE CARLO MO + *CENTRAL + O, with another cryptic definition. ",65
24. Scandalous conclusion to entry (4)," GATE Definition and cryptic definition, GATE being used as a suffix nowadays since the Watergate scandal ",106
"25. Relative to the All Blacks, the English followed 24 down and 3 (6)", BRONZE BRO(ther) + NZ + E ,27
26. Outsider gets sick on account of solid 24 down film vehicle (8)," CADILLAC CAD (“outsider”?) + ILL + AC, the reference being this film. Down ",76
"1. Tom, it may be, by custom identifying bird (8)", TITMOUSE *TOM IT + USE. Several contributors have provided links to the book. ,79
2. Old Testament king was a joke (4), AGAG A + GAG ,14
3. Pirate repeated in 2 (6)," SILVER Ag, the chemical symbol, appears twice in the previous solution. The pirate, of course, is the one from Treasure Island. ",129
4. Something wrong in taking drug? It’s stupid (7)," ASININE A + SIN + IN + E(cstasy) 5,22. 24 down girl, one not feeling capital on getting lost in picture (8,6) PLATINUM BLONDE I + NUMB + LOND(on) in PLATE (= “picture”?). I always thought a platinum blonde was more white than golden, although (at the risk of getting told off by the scientists here) in Spanish platinum is often confused with white gold. ",356
6. Stating what one believes is a job (10), PROFESSION Double definition ,30
7. Mother’s murderer turned up: he’s insane (6), MANIAC MA + <CAIN ,19
"13. Trouble behind the scenes, funny thing after being dressed up when full (2-8)"," IN-FIGHTING *THING after IN FIG, which I think might refer to an expression like “in figure” = “being dressed up”? Again, help welcome. My thanks to NeilW et al. for explaining that the expression is “in full fig”. ",216
16. Miserable quarter heaved (8), WRETCHED W + RETCHED ,22
18. Allowance given to amateur in town (8), GRANTHAM GRANT + HAM ,22
19. Most of Austria’s self-styled bird (7)," OSTRICH ÖST(er)R(e)ICH, Austria in German. ",44
21. Horrid characters put straight by Morgan (6)," RHODRI *HORRID. I thought I’d be looking for another pirate here, not being familiar with the Welsh politician. 22. See 5 – See 5 ",131
1 Loves singing praises about going on first union outing (12)," Yes HYMNING (singing praises; ‘hymn’ is a verb as well as a noun) containing (about) (O [love, score in tennis] + O [love, again]; together OO forms ‘loves”)  HONEYMOONING (going on first union outing, where ‘union’ means ‘marriage’)’  8 Busy but ready to start monopoly? (2,3,2)  ON THE GO (at the start of a game of Monopoly, all players place their tokens on the corner square marked ‘GO’) ON THE GO (busy) ",411
"9 Kylie’s not the first to entertain 5 with it (2,5)","  MINOGUE (reference the singer and actress,Kylie Minogue) excluding the first letter (not the first) Mcontaining (to entertain) V (Roman numeral for 5) IN VOGUE (fashionable; following current trends in popular taste;with it) ",227
"11 He can’t do it, working with a superficial layer (4-6)",  Anagram of (working) HE CAN’T DO IT THIN-COATED (with a superficial layer) ,77
12 Close to it is risque book (4), Yes B (book) BONE (if something is ‘close to the BONE‘ it is risqué [audaciously bordering on the unseemly]) I don’t know if risqué was spelt with an éin the paper. It isn’t on the download via Crossword Solver. I think it should be. ,235
14 After 5 roughly we introduce a recipe for casseroles perhaps (8),  Anagram of (roughly) NOVE (the entry at 5 Down) + (WE containing [introduce] [A + R [recipe]) OVENWARE (casseroles can be cooked in OVENWARE) ,144
"15 Eventually I’ll back off leaving paper, say (3,3)"," Yes DAILY (newspaper; paper) excluding (leaving) IL’L, itself excluding the final (back off) L ONE DAY (eventually) ",117
17 Bonus piece of Poulenc or Elgar (6),  Hidden word in (piece of) POULENC OR ELGAR ENCORE (an additional item as a result of audience request; bonus) ,112
19 Number 10 at first curious about linesman? (8),"  TEN (10) (at first) + N (number) + (NOSY [curious] reversed [about]) TENNYSON (reference Alfred, Lord Tennyson, poet; one who writes lines [of poetry]; linesman) ",164
22 Times regularly sent over and over again (4),"  Odd letters (regularly) of SENT OVER, reversed (over again)  EONS (very large division of geological times; times) ",117
23 The wife from hell peers drunkenly into pub (10), Yes Anagram of (drunkenly) PEERS contained in (into) PH (Public House; pub) PERSEPHONE (daughter of Zeus and the harvest goddess Demeter; husband of Hadesand queen of the underworld; the wife from hell)  ,205
"25 Fix game against county (3,4)","  TIE (match in which one contestant or team are eliminated; game) + DOWN (reference County DOWN, Northern Ireland) TIE DOWN (fix) ",131
26 Unique quality of timeless leafy homes (7), Yes NESTS (leafy homes) excluding (less) T (time) ONENESS (unique quality of) ,79
27 Bias when revolutionary bodyguards ended lives (3-9), Yes (SS [Schutzstaffel; Nazi elite corps; bodyguards] + ENDED + IS [lives]) reversed (revolutionary)  ONE–SIDEDNESS Down No. Clue  Wordplay Entry ,147
1 Ambassador input nothing to upset critical link (7),"  ([NIL {nothing} + TO] contained in (input) HE [His/Her Excellency; form of address for an ambassador/ambassadress]) reversed (upset) HOTLINE (a special telephone and teleprinter link, originally one between the Kremlin and Washington; any line of speedy communication ready for an emergency; critical link)  ",310
"2 He wrote at Xmas before Cod War intervened (4,6)","  NOEL (Christmas; Xmas) + (COD containing (intervened) WAR) NOEL COWARD (author, playwright, composer, actor and singer; he wrote)  ",133
3 The old old knight in ragtag army – or all of it? (8),"  YE (old form of ‘the’; the old) + O (old) + (N [knight] contained in [in] an anagram of [ragtag (?)] ARMY)  YEOMANRY (a cavalry volunteer force in Great Britain formed during the wars of the French Revolution, later mechanized as part of the Territorial Army; could be described as a ragtag army of old knight, i.e. ‘all of it’).  ",333
4 Offers views big tree blocked (6),  OS (outsize; big) containing (blocked) PINE (tree) OPINES (offers views) ,75
5 Florence’s 9 halfway through this month (4),  NOVE (half of NOVEMBER [this month]) NOVE (nine in Italian [Florence]) ,73
6 Guide ignored person of African extraction (7),  Anagram of (guide [?]) IGNORED NEGROID (person of African extraction) ,72
7 Delay in mail exercises banking personnel (12), Yes POST (mail) + (PT [physical training; exercise] containing [banking] MEN [personnel]) POSTPONEMENT (delay) ,112
"10 English severely misled all except us (8,4)"," Yes  Anagram of (misled] (E [English] and SEVERELY)  EVERYONE ELSE (all except us) 13 Reconciled, say, unlike Ikea purchases? (2,3,5) Yes IN PIECE (sounds like [say] IN PEACE [reconciled, one of the meanings of ‘reconcile’ is ‘pacify’)])  IN ONE PIECE (most goodspurchased from Ikeainvolve self-assembly, so the goods do not come [unlike]IN ONE PIECE) ",353
"16 Supply cash to cover short film – objective cover (4,4)",  LEND (supply cash) containing (to cover) SHOOT (film excluding the last letter [short] T) LENS HOOD (a cover for an [objective] lens) ,136
18 Firm vote against church service (7),  CON (a vote against) + CE (Church [of England]) + RN (Royal Navy; armed service) CONCERN (business; compnay) ,111
"20 They killed Stephen, saint Rembrandt sketched originally(7)", Yes ST (saint) + first letters of (originally) REMBRANT and SKETCHED STONERS (The Acts of the Apostles statesthat St Stephen was stoned to death. Rembrandt depicted his martyrdom in his work The Stoning of Saint Stephen)  ,223
21 Brezhnev’s name for one this month’s shower (6),"   The LEONIDs is a prolific meteor shower associated with the comet Tempel-Tuttle. The LEONIDs get their name from the location of their radiant [the centre from which meteor showers appear to emanate] in the constellation Leo.The LEONIDstend to peak in November, hence the reference to ‘this month’s shower’ in the clue. We want one of the LEONIDs, hence LEONID LEONID (first name of LEONID BREZHNEV [1906 – 1982], leader of the Soviet Union from 1964 until his death) ",471
"1 A name’s changed after run-of-the-mill rating (8,6)", ORDINARY (run-of-the-mill) + (anagram of [changed] A NAME’S) ORDINARY SEAMAN (rating) ,87
10 Check out the playground next to church (5), REC (recreation ground; playground) + CE (Church [of England]) RECCE (reconnoitre; check out) ,95
11 Glaring slips about very soft wrestling (9), Anagram of (slip) GLARING containing (about) PP (pianissimo; very soft) GRAPPLING (wrestling) ,95
12 Place this surprisingly around new bases (7), PL (place) + (anagram of [surprisingly] THIS containing [around] N [new]) PLINTHS (bases) ,91
"13 Southern American loudly kissed one on bail, perhaps (7)", S (southern) + US (United States; American) + PECT (sounds like [loudly ?] PECKED [kissed]) SUSPECT (a suspect may be released on bail pending further investigation or trial) ,176
14 Gaffer and I must get into cook (5), I contained in (must get into) CHEF (cook) CHIEF (gaffer) ,59
16 Guarantee to pass on the wrong side? (9)," UNDERTAKE (promise; guarantee) Chambers suggests that this meaning is tending to the archaic, although it does offer ‘provide security for’, but even here it links to Shakesperean usage as well)) UNDERTAKE (pass on the wrong side; [usually on a motorway or dual carriageway, but given some examples of driving seen today, could well occur on single carriageway roads as well]) – double definition ",398
19 Leading dignitaries in a RC island mass (9), Anagram of (mass) A RC ISLAND CARDINALS (leading dignitaries in a mass) – &Lit clue ,85
20 Posed with your woodland god (5), SAT (posed) + YR (your) SATYR ([Greek] woodland god) ,54
22 This garden plant’s fruit proved trendy (7)," ROSE (proved, in the sense of causing dough to rise) + HIP (trendy) ROSEHIP (fruit of a garden plant) ",103
25 Check concerning mountaineer’s safety aid (7), CRAMP (confine; hamper; check) + ON (concerning) CRAMPON (a spiked shoe attachment for climbing or walking on ice; mountaineer’s safety aid) ,142
"27 A written declaration from chap with independent party, Oscar (9)"," MAN (chap) + I (independent) + FEST (party) + O (Oscar is the international radio communication codeword for the letter O) MANIFESTO (written declaration of the intentions or motives of a leader or party) – if Oscar is the person who leads the party, or wrote the MANIFESTO, then I think this is an &Lit clue ",310
28 Curt greeting follows suspect food (5)," SUS (suspect) + HI (short [curt] greeting) SUSHI (Japanese dish of cold rice, egg, fish, vegetables etc, now common in supermarkets, sandwich bars and restaurants throughout the land; food) ",191
"29 Fool bloke with line in The Tramp commonly (7,7)"," CHARLIE (fool) + CHAP (bloke) + L (line) + IN CHARLIE CHAPLIN (actor, often known as’ the little tramp’) Down No. Clue Wordplay Entry ",135
2 I provide a remedy which allows smooth flow (9), RECTIFIER (one who provides a remedy) RECTIFIER (apparatus converting alternating current [AC] to direct current [DC]; apparatus that generates smooth flow) – double definition ,178
3 Out of place in English exercises (5), IN + E (English) + PT (physical training; exercises) INEPT (awkward; clumsy; unsuitable; out of place) ,104
4 Argonauts travelling about in bark (9)," Anagram of (travelling about) ARGONAUTS ANGOSTURA (aromatic bitter bark, a word that I have only come across before in terms of the drink ‘ANGOSTURA bitters’) ",160
5 Remain up around end of audience with poet (5)," STAY (remain) reversed (up; this is a down clue) containing (around) the final letter, E,of (end of) AUDIENCE YEATS (reference W B YEATS, [1865 – 1939], poet) ",160
"6 Snaps World Fair, eg, with certain celebs finally (9)"," EXPO (exhibition or public showing; World Fairs were often described as EXPOs) + SURE (certain) + last letter, S, of (fianlly) CELEBS EXPOSURES (acts of allowing light to reach photograph film to generate pictures; more colloquially, snaps) ",242
7 We hear a mass of confused info for a source of food (5), MAIZE (sounds like MAZE [any confusingly elaborate system; mass of confused information]) MAIZE (tall cereal grass; source of food) ,133
8 Female lingerie near gent’s cravat? (7)," NIGH (near) + TIE (gent’s cravat) NIGHTIE (female lingerie) I’m sure you can get mens’ NIGHTIEs these days, but I realise the clue was designed to get male and female together. ",178
"9 Thesis includes beginning of reinvestigation for Capricorn, say (6)"," TOPIC (thesis) containing (includes) first letter, R. of (beginning of) REINVESTIGATION TROPIC (Capricorn is one of a choice of two tropics, hence the ?) ",155
15 Fine’s just horrible (9), F (fine) + RIGHTFUL (just) FRIGHTFUL (horrible) ,49
17 What receives a clump? Husband’s drier (9), DISH (a satellite dish receives signals) + CLOT (clump) + H (husband) DISHCLOTH (drier) ,89
18 Pickle in a pitta’s for starters (9)," Anagram of (pickle) IN A PITTA’S ANTIPASTI (hor’s doeuvres; appetizers; starters, commonly found on the menu in Italian restaurants) ",134
"19 Cold cream I replaced in china bowl, say (7)", Anagram of (replaced) C (cold) and CREAM I CERAMIC (a china bowl is an example of a ceramic) ,94
