clue,exp,len
20 Fair English archdeacon (4)," EVEN : E(abbrev. for “English”) + VEN(abbrev. for “venerable”, the title for an Anglican archdeacon). Answer: Fair/equitable, as in “an even bargain”. ",152
21 Australia encapsulated by scornful former President (7)," SARKOZY : OZ(the Australian slang for their country) contained in(encapsulated by) SARKY(slang for “sarcastic”;being scornful). Answer: Nicolas, newly former French President. ",177
22 Drink obtained by German musician in audition (6)," GRAPPA : G(abbrev. for “German”) + homophone of(in audition) “rapper”(a musician – of sorts, in my opinion). Answer: An Italian alcoholic drink made from the residue of grapes after being pressed in winemaking. ",212
24 Killer around hospital and series of shops (5), CHAIN : CAIN(Biblical killer of his brother Abel) containing(around) H(abbrev. for “hospital”). ,97
1. Husband on board poorly lit boat (6), DINGHY H in DINGY ,19
4. Candour unwisely shown about large witches’ pot (8), CAULDRON (CANDOUR*) around L ,30
"10. Splendid Havana, say (7)", CAPITAL dd ,12
11. Person vandalising cowl on chimney (7), HOODLUM HOOD+LUM 12. Crude thug with money (5-3-5) ROUGH-AND-READY ROUGH+AND+MONEY ,84
"14. Who will have reviewed this Sheridan play? (3,6)", THE CRITIC cd – ref. this PLAY ,32
15. Magistrate imprisoning duke for evasion (5), DODGE DOGE around D ,21
16. Leader of opposing side is outstanding (5), OWING O(pposing)+WING ,23
"18. Children’s author had dollar exchanged (5,4)"," ROALD DAHL (HAD DOLLAR)* 21. On what a local tax may be based in area A (but level fluctuates) (8,5) RATEABLE VALUE (AREA A (BUT LEVEL)* ",138
23. Captain brought in an eastern perennial (7), ANEMONE (NEMO in AN)+E ,24
24. Grandmother cutting a cotton cloth (7), NANKEEN NAN+KEEN ,18
25. Dagger found in street by messy toilet (8), STILETTO ST+(TOILET*) ,23
"26. Opening bowler, perhaps American, catches one (6)", HIATUS (HAT+US) around I … Down ,33
1. Star of French cinema’s first speech (10), DECORATION DE(French ‘of’)+C(inema)+ORATION ,45
2. New record a while ago with melody taken from 9 (7)," NEPTUNE N+EP+TUNE 3. One would expect a player to behave appropriately (3,3,5,4) HIT THE RIGHT NOTE cdd (split after the ‘to’): ‘singer’ would appear to be more appropriate here ",179
5. Language used when armchair almost collapsed (7)," AMHARIC (ARMCHAI(r))* 6. Painter cooked vindaloo and rice (8,2,5) LEONARDO DA VINCI (VINDALOO AND RICE)* great anagram ",120
7. Revolutionary university in revolutionary broadcast (7), RELAYED (YALE<) in RED ,24
"8. Celebrity from Dublin, a megastar (4)"," NAME hidden: dubliN, A MEegastar ",34
"9. Earth perhaps flat? Theory, initially (6)", PLANET PLANE+T(heory) ,23
"13. Very evil trap set up for game (4,6)", REAL TENNIS REAL+(SIN+NET<) ,29
17. One from the Middle East is one king brought over (7), ISRAELI IS+(I+LEAR) ,21
18. Get near volatile chemical substance (7), REAGENT (GET NEAR)* ,21
"19. Article put in last, possibly at an angle (6)", ASLANT AN in (LAST*) ,22
20. Complaint from the Italian chaps stationed in the outskirts of Aldershot (7), AILMENT (IL(Italian ‘the’)+MEN) in A(ldersho)T ,48
9 Examine British plants suitable for garden… (9), EYEBRIGHT (6d: Herb) EYE + B + RIGHT  10 … until tangled rose was set apart (5) UNLIT (11a: Dark) UNTIL*  ,107
"11 Dark shadows intimidate sailor (3,4)", DOG STAR (24a: Sirius) DOGS TAR  ,34
12 Massive monster has tough little beak (7), ORCHARD (9a: garden) ORC + HARD  ,34
13 Gambles with electric circuit (5), WRING (14d: Twist) W + RING  ,30
"14 Pickled sot, half unwell, found nirvana in drink barrel (9)", ROSTELLUM (12a: little beak) (SOT ELL)* in RUM  ,49
"16 Colour and curious tint mixed by small urchin (5,10)", TITUS ANDRONICUS (19a: It’s a tragedy) (AND CURIOUS TINT)* +S  ,64
19 It’s a tragedy how foul Macbeth butchered new duke (9), WOLFHOUND (3d: Large canine) (HOW FOUL)* + N D  ,49
21 University of Cambridge boasts about class (5)," MITRE (23d: a headdress) MIT (Massachusets Institute of Technonology, located in Cambridge, Mass.) + RE  ",106
22 Zappa’s gutted after instrument produces evil notes (7), ORGANZA (18d: Thin material) ORGAN + Z[app]A  ,47
"23 Wizard books by Rowling, a poet (7)", MAGENTA (16a: Colour) MAGE + NT + A  ,38
24 Giant asteroid orbiting Sirius (5), TANGI (21d: funeral) GIANT*  ,30
25 News chief hacks phone over mere trifle (9), EPHEMERON (4d: Mayfly) MERE* in PHONE*  Down ,46
1 Perhaps pink eggs with red tea? Romantic supper (10), SEGREGATED (10a: set apart) (EGGS RED TEA)*  ,46
2 Mature women and their struggles to wear X? (8), THIRTEEN (7d: Number) THEIR* in TEN  ,38
3 Large canine was excitedly biting good heels of shoe and slipper (6), WAGERS (13a: Gambles) G [sho]E [slippe]R in WAS  ,50
4 Mayfly remembers a grand day following end of life (4), AGED (2d: Mature) (A + G) + (D after [lif]E)  ,47
5 Pressing swordplay gains soldier merit (10), WORDSWORTH (23a: a poet) SWORD* + WORTH  ,42
"6 Herb Alpert, blow one out! (8)", PUNCHEON (14a: barrel) PUNCH + ONE*  ,38
7 Number 51 ran and qualified (6), LIABLE (22d: Responsible) LI + ABLE  ,38
8 Pledge beats dust easily (4), STUD (17d: a hunk) DUST*  ,27
"14 Twist metal into phone receiver, perhaps (10)", RINGLEADER (25a: chief) LEAD in RINGER  ,41
"15 Feed, earth and a bit of rain essentially care for tree (10)", MASTERMIND (20d: architect) MAST + E + R + MIND  ,50
17 Vera and I dance like this for a hunk (8), DIANTHUS (1d: Perhaps pink) (AND I)* + THUS  ,46
18 Thin material fashions elegant grey coat (8), CATEGORY (21a: class) (GREY COAT)*  ,37
20 Old city fellow is Roman architect (6), URGENT (5d: Pressing) UR + GENT  ,34
21 Game over soon? I’m beginning to sense funeral (6), MINIMS (22a: notes) Reverse of NIM (game) + I’M + S[ense]  ,60
22 Responsible for eating a hot stew (4), OATH (8d: Pledge) (A HOT)*  ,29
"7 SOVEREIGN  Grieve over being pressed by Brian, Brenda? (9)"," GRIEVE* AInd: over, inside SON (Brian – The Eye’s nickname for Prince Charles). Def. Brenda (The Eye’s nickname for HM the Queen) At first I thought Grieve might be the definition as Brenda is more usually used in wordplay. Then I spent a while thinking it might refer to Dominic G … Obviously very misled. The result is a clue I found very tough to crack. One of the last to fall. ",383
8 DIRGE  Sting finally breaking into crap song (5), [stin]G inside DIRE (crap) First answered giving false sense of overall difficulty ,84
9 LURGY  Complaint from guy pissed with Labour’s extremes (5), (GUY L[abou]R)* AInd: pissed 10/,33
"15 EXPECTANT MOTHER “It makes one spit – no alternative – taking on that wardrobe disaster”, Brenda describing Kate? (9,6)"," EXPECTORANT – OR, MOTH (wardrobe disaster) ER (Brenda) Another I found particuarly hard to get ",96
"13 AD HOC Pisspoor, leaderless House, Clegg chiefly makeshift (2,3)"," [b]AD (pisspoor, leaderless) HO[use] C[legg] ",46
"16 IMPUTE  Say someone did something bad, screwing up time? (6)", (UP TIME)* AInd: screwing ,27
19 DEPOT  Got pissed about … Arsenal? (5), TOPED< ,8
20 ABHORRENT  Throb near to crack that’s odious (9), (THROB NEAR)* AInd: to crack. I had a feeling that I’d seen that anagram previously in a crossword but I haven’t managed to track it down. ,140
"22 CURTAIN UP Top off, “old boy” freed, Kurt Cobain gyrates with hard-on, as a show-starter (7,2)", ([k]URT COBAIN – OB)* AInd: gyrates. UP (hard-on). 24/,55
"23 TIGHT ROPE Pissed with Cable’s balancing act support? (5,4)"," TIGHT (pissed) ROPE (cable) Misleading capitalisation, plus shouldn’t this be one word? ",89
"25 LUPIN  After U-turn, sod all to protect uranium power plant (5)", U[ranium] P[ower] inside NIL (sod all) reversed ,49
26 FREELANCE  Not on the staff unleashed on prick (4-5), FREE (unleashed) LANCE (prick) Down 1 OVER-THE-TOP  Too much publicly displayed male chest (4-3-3) OVERT (displayed) HE (male) TOP (chest) 2/,142
"5 GREY AREA Rather doubtful ex-PM should get a stretch (4,4)", GREY (ex-PM) AREA (a stretch) Earl Grey was a Prime Minister who liked his tea ,80
"3 BIG EARS Boris, broken with age, loveless – a minor TV character (3,4)"," (BORIS AGE – O)* AInd: broken. What, Big Ears as an answer with no reference to Prince Charles, or Andrew Marr, or even Alexander Armstrong? ",142
6 TESTICLE  Maybe it’s Hitler’s elect circles restricting its uprising (8), ITS< inside ELECT* AInd: circles. Def. referencing a famous monorchid. Tricky ,79
7 SALON  Establishment also contrived Cameron’s end (5), (ALSO [camero]N)* AInd: contrived ,35
8 DECLAIMER  Speechifier Miliband upset with one demanding benefit? (9), ED< CLAIMER (one demanding benefit). someone on benefits is really a “Claimant” thus the “?” ,94
12 EYESTRAIN  Regards exercise as early sign of being a chronic wanker? (9)," EYES (regards) TRAIN (exercise) Def. referring to the old-wives tail – certainly an o-w-t – for instance, apparently Piers Morgan has very good eyesight ",154
"14 HOUSE AGENT Commons spy who’s keen to get commission (5,5)", HOUSE (Commons) AGENT (spy) ,29
15 MEDICALS  Examinations entailing bites round penis detailed (8), DIC[k] inside MEALS (bites) Last answered – and I didn’t understand the wordplay till doing the blog. ,103
"17 SAWN-OFF  Was on manoeuvres with females, so removed from board? (4-3)", (WAS ON)* AInd: manoeuvres. FF (Females) Another I found tricky after being sold a pup into thinking about chess 18/,117
"4 WHIPPERSNAPPER  Green, jumped-up sort demands a parliamentary enforcer for each paparazzo (14)"," WHIP (a parliamentary enforcer) PER (for each) SNAPPER (paparazzo) 21/11 TO THE NTH DEGREE Screwing, end together, clutching article as far as one can (2,3,3,6) (END TOGETHER)* AInd: screwing. around THE (article) Thank goodness I got the crossing H before getting too convinced the 3rd word must be NOT. ",306
8 Wise man hiding jug in waste disposal system (8), SEWERAGE – a wise man around (hiding) a large water jug ,57
9 Proof of innocence given by setter during arrangement of bail (5), ALIBI – the first person singular pronoun (setter) inside (during) an anagram (arrangement) of BAIL ,101
10 With which to wash small old age pensioner? (4), SOAP – S(mall) followed by the abbreviation for an old age pensioner ,70
11 Republican in state where progress is impossible with Southern hairstyle (10), DREADLOCKS – R(epublican) inside the state where progress is impossible followed by S(outhern) ,96
12 With this type of remedy get better taking peeled rhubarb? (6), HERBAL – a verb meaning to get better around (taking) the outer letters of RhubarB – I would have thought that peeled indicates removing the outer letters rather than using them; maybe “peel of” would be better  ,213
14 Note name given to Manchester’s last dealer in a specified trade (8), CHANDLER – a musical note followed by a name and the final letter (last) of ManchesteR ,88
15 Composer‘s special technique rejected by American soprano (7)," STRAUSS – S(pecial) followed by the reversal (rejected) of a technique, the two-letter abbreviation for American and S(oprano) ",128
17 Row of houses with dog running round the Queen (7), TERRACE – a verb meaning to dog or follow around (running round) the regnal cypher for our Queen ,98
"20 Alternative source of milk for ewe’s runt organised (3,5)", WET NURSE – an anagram (organised) of EWE’S RUNT ,50
22 Way for holy person to be humble (6), MODEST – A way or style followed by the usual abbreviation for a holy person ,78
"23 Creature offering advice to punters, dumping stuff illegally (3-7)", FLY-TIPPING – a small insect followed by a verb meaning offering advice to punters or gamblers ,96
"24 Originally, colonialists swindled African republic (4)", CHAD – the initial letter (originally) of Colonialists followed by a verb meaning swindled ,92
25 Insect jumping from police officer’s cloth (5), SERGE – drop the three-letter insect from the end of a police officer ,71
26 Drinks interrupted by correspondence from gospellers (8), APOSTLES – alcoholic drinks around (interrupted by) some correspondence Down ,78
1 Smelling of particular type of wine before start of orthodox period of fasting (8), REDOLENT – a type of wine followed by the initial letter (start) of Orthodox and a period of fasting ,102
2 Have a quick look up and down (4), PEEP – this verb meaning to have a quick look is a palindrome (reads the same up and down in a down clue) ,107
3 Vehicle used by boy overturned by one damaging property (6), VANDAL – a commercial vehicle followed by the reversal (overturned in a down clue) of a boy ,93
"4 Beg to live, going to diocese supported by church (7)", BESEECH – a two-letter verb meaning to live followed by another word for a diocese and CH(urch) ,97
5 Male with Dutch tool for gathering up plant (8), MANDRAKE – a male person followed by D(utch) and a garden tool for gathering up grass or leaves ,97
6 Disturbed Derby’s second rider with odds fix (10)," DISORDERED – an anagram (fix) of the second letter of dErby, RIDER and ODDS ",77
7 Choose the French condiment (6), PICKLE – a verb meaning to choose followed by the French definite article ,75
13 British weather event leads to sudden inspiration (10), BRAINSTORM – B(ritish) followed by a weather event ,52
16 Erotic dancer sees tourist after the end of gyrations (8), STRIPPER – a tourist follows the final letter (end) of gyrationS ,66
18 Actors with neat arrangement for half an instrument (8), CASTANET – a generic word for the actors in a play followed by an anagram (neat arrangement) of NEAT gives a percussion instrument that is of no use unless it is part of a pair ,178
"19 Renewed performance from competitor swallowing extra Viagra, primarily (7)"," REVIVAL – a competitor around (swallowing) the initial letters (primarily) of Extra and Viagra, ",97
21 Fluffed lines — time to sign up (6), ENLIST – an anagram (fluffed) of LINES followed by T(ime) ,59
22 Mother given first bit of garden obtained grub (6), MAGGOT – a two-letter word for mother followed by the initial letter (first bit) of Garden and a verb meaning obtained ,120
"1 Give added strength to message poor meat-eaters won’t want to hear? (4,2)", BEEF UP Tichy way to say the price of beef has gone up; probably because the cheaper horsemeat is no longer allowed to be mixed in 🙂 ,134
5 It sounds like visible move (6), INCITE Sounds like IN SIGHT (visible) ,39
"8 Great golfer superior to these messing about (5,10)"," PETER OOSTERHUIS *(SUPERIOR TO THESE) for Peter A. Oosterhuis, 65, an English professional golfer and golf analyst. Can I take it that the convention of not clueing living people is only applicable to The Times? ",213
10 Men returning with Kate help with the group (6)," ROADIE RO (rev of OR, other ranks, soldiers, men) + ADIE (Kate Adie, a BBC journalist, hardly a household name in Cape Town, Ottawa, Perth or Kuala Lumpur; although the other Kate who is expecting a royal child, is) ",217
11 Attend to drunken son beset by booze (8), CONSIDER Ins of *(SON) in CIDER (booze) ,41
"12 Worried, being defeated with leader bumped off (5)", EATEN BEATEN (defeated) minus B ,33
13 Biological groups sure began to evolve (9), SUBGENERA *(SURE BEGAN) ,25
"15 News from agent, nothing terribly great (9)"," REPORTAGE REP (Representative, agent) O (nothing) + *GREAT) ",61
17 Dog crushed by big rock rolling over (5), CORGI rha ,11
"19 Our mistress, no maiden, is looking silly in traditional male garment (8)"," TROUSERS *(OUR MISTRESS minus Maiden IS, oops) ",48
21 Solid curator (6)," STRONG dd Sir Roy Colin Strong, 78, is an English art historian, museum curator, writer, broadcaster and landscape designer. He has been director of both the National Portrait Gallery and the Victoria and Albert Museum in London. He was knighted in 19",252
"83. Never heard of him until I have to google him for this blog 23 Brighter lady involved with boy in audacious act of exploitation (8,7)", DAYLIGHT ROBBERY *(BRIGHTER LADY BOY) ,39
24 Student seen as ‘home bird’ (6), INTERN Cha of IN (home) TERN (bird) for a word that came into international notoriety afterMonica Lewinsky ,108
25 Part of body right inside animal (6), BREAST Ins of R (right) in BEAST (animal) Down ,48
2 Someone coming in to give hospital department verbal attack (7)," ENTRANT ENT (Ear, Nose and Throat, a specialized field of medicine) + RANT (verbal attack) ",92
3 Alien foe erring unexpectedly (9), FOREIGNER *(FOE ERRING) ,25
4 Bear that smells horrible (4)," POOH dd Winnie-the-Pooh, also called Pooh Bear, is a fictional anthropomorphic bear created by A. A. Milne & an exclamation of disdain, dismissal, or disgust (eg at an offensive smell) ",186
"5 International monetary unit facing difficulties (2,7)", IN TROUBLE INT (International) ROUBLE (monetary unit in Russia) ,65
6 Army unit runs into police (5), CORPS Ins of R (notation for runs in cricket scoring) in COPS (police) ,72
7 Time to move quickly? Not moving having lost one wheel (7), TRUNDLE T (time) RUN (move quickly) IDLE (not moving) minus I (one) ,69
8 Was to blame for each favourite getting reprimanded (11), PERPETRATED Cha of PER (each) PET (favourite) RATED (reprimanded) ,67
9 Individually picking the best — in a way that may be very funny? (11), SCREAMINGLY Ins of CREAM (the best) in SINGLY (individually) ,62
"13 Marine life form hurricanes unsettled — number finally destroyed (3,6)"," SEA URCHIN *(HURRICANES minus R, last letter of number) ",57
14 Highly-strung old lover that can be summoned to court? (9), EXCITABLE EX (old lover) + CITABLE (that can be summoned to court) ,68
16 Star terribly coy about nasty porn? Quite the opposite (7), PROCYON Ins of *(COY) in *(PORN) for the brightest star in Canis Minor ,72
18 They have top jobs in the construction industry (7), ROOFERS cd ,12
"20 Father holding power, one over the church? (5)", SPIRE Ins of P (power) in SIRE (father) ,41
1 Verdict on suspension (10)," RESOLUTION : RE(on;with reference to) + SOLUTION(solutions are homogenous mixtures of one or more substances dissolved in a medium, except for colloidal solutions where very minute particles of a substance are not dissolved but arein a uniform suspension in a medium). ",270
7 Money in vault (4)," BUCK : Double defn: 1st: An Americanism for a dollar;money, as in “he’ll do anything for a buck”; and 2nd: To jump;vault, as eg. a horse does. ",144
9 Punch a priest (4), LAMA : LAM(to punch;to beat) + A. Answer: A Tibetan priest. ,61
10 Soldiers billeted in home flaunt power (10)," INSTRUMENT : MEN(soldiers) contained in(billeted in) [ IN(at home;not out) + STRUT(to walk in a swagger, showing off;to flaunt, as in “to strut one’s stuff”) ]. Answer: An agent;a power to cause something. An example is a power, a written document/an instrument conferring legal authority. ",291
11 Where to find ancient Greek army after fight (6)," SPARTA : TA(abbrev. for the British Territorial Army) placed after(after) SPAR(to fight, albeit unaggressively). ",114
"12 Prayer often follows sudden explosion! (5,3)", BLESS YOU : Cryptic defn: What is said after someone sneezes. ,63
"13 Pass out leek recipe? (4,4)"," KEEL OVER : A reverse anagram: “over(an anagram indicator) of KEEL” is a recipe for forming “leek”. Defn. and Answer: To collapse suddenly, as from a faint eg. soldiers during their passing out parade. J ",205
15 Told to milk farm animals (4), EWES : Homophone of(Told) “use”(to exploit;to milk). ,54
"17 In scrabble, valuable characters embody a style of music (4)"," JAZZ : J,Z,Z(the valuable character tiles in the English verseion of the board game, Scrabble, with J scoring 8 points and Z 10 points) containing(embody) A. ",159
19 Broke and not very fresh (8), INSOLENT : “insolvent”(broke;unable to pay one’s debts) minus(not) “v”(abbrev. for “very”). Defn: Being cheeky;impudent. ,122
22 Unfinished dessert also known as main course (8)," MOUSSAKA : “mousse”(a dessert of eggs, cream, fruit, etc. set with gelatin) minusits last letter(Unfinished) + AKA(abbrev. for “also known as”, when referring to aliases). Answer: A dish, the best known variant of which is the Greek one, with aubergines, tomatoes, meat and cheese. ",283
23 Wrapping leg inside slip (6)," TAPING : PIN( slang for a human leg) contained in(inside) TAG(a slip;a small piece of paper, usually with information on it). Answer: Wrapping with tape. ",155
"25 Insincere praise for pelvic rise exercise (3,7)"," LIP SERVICE : Anagram of(exercise) PELVIC RISE. And there is an exercise called the pelvic raise, aka the pelvic lift. ",120
26 You reactivate sample of organic compound (4), UREA : Hidden in(sample) “you reactivate”. ,44
27 American’s nearly getting on although in disagreement with (4), AGIN : “aging”(the American spelling for “ageing”;getting on;getting older) minusits last letter(nearly). Answer: Dialect for “against”;in disagreement with. ,159
28 Perhaps Mozart is inferior to musical number in section of the orchestra (10)," WUNDERKIND : [ UNDER(is inferior to something or someone higher) + K(the K numbers used to refer to Mozart’s musical works, named after originator Ludwig Ritter von Köchel) ] contained in(in) WIND(the section of the orchestra comprising of woodwind instruments, incl. oboes, bassoons, flutes and clarinets). Answer: A child prodigy, an example of which;perhaps was Mozart. Down ",379
"2 For this, say former wife’s getting fat (7)", EXAMPLE : EX(slang for a former spouse or partner) plus(getting) AMPLE(a euphemism for the adjective “fat”). Answer: The “this” in the defn. ie. for example;say. ,163
"3 Live using oxygen-rich gas (2,3)"," ON AIR : ON(using, as in “he’s on drugs”) + AIR(oxygen-rich gas). Nice surface and misdirection. Answer: To be broadcasting instantaneously;live (as an adjective, not a verb);not pre-recorded. ",194
4 University vivisectionist first dissected hollow mollusc (8)," UNIVALVE : UNI(short for “university”) + first letter of(… first) “vivisectionist” + “alcove”(a hollow in a wall, say) minus its 2 innermost letters(dissected, as in taking apart the insides of body tissue). I’m not sure of the last bit. Edit.note: Thanks [emailprotected]….. + [ first letter of(… first) “vivisectionist” contained in(dissected, as in to cut apart, eg. body tissue)VALE(a hollow;a depressionin the ground) ]. Answer: A shellfish with only one piece of shell. ",477
5 Mutiny aboard naval vessel receiving orders (15), INSUBORDINATION : [IN SUB](in a submarine;aboard a naval vessel) + ORDINATION(the reception;receiving of holy orders). ,120
6 Anxiety as 7 Up is contaminated by river (6), NERVES : Reversal of(Up) SEVEN(7) containing(is contaminated by) R(abbrev. of “river”). ,89
7 Explosion is awful surprise (9)," BOMBSHELL : Double defn: 1st: A bombshell/bomb would cause an explosion, though I’m not sure the cause is synonymous with the effect. ",135
8 Sympathise when control panel’s heart goes dead (7)," CONDOLE : “console”(a control panel) with its central letter(…’s heart) replaced by(goes …, as in “he goes/becomes red when he’s embarrassed”) “d”(abbrev. for “dead”). Answer: The root word for “condolences”, which one might convey to someone who is bereaved. ",261
"14 One spins around heavy star without it (4,5)"," LAZY SUSAN : LAZY(slow moving;clumsy;heavy, as in “a lazy/heavy gait”) + SUN(the earth’s star) containing(without) SA(abbrev. for “sex appeal”;it;that indefinable attractive quality). Answer: A revolving tray for,commonly,foods, condiments, etc. placed at the centre of a dining table. 16 Sweatier gymnastics in a manner of speaking (2,2,4) AS IT WERE : Anagram of(gymnastics) SWEATIER. ",388
18 Devoted a party to band (7), ADORING : A + DO(a party;a function) plus(to) RING(a circular band). ,70
20 Elderly relative eager to make cloth (7)," NANKEEN : NAN(a child’s word for “grandmother”) + KEEN(eager;enthusiastic). Answer: Cloth formerly made from cotton, originating from Nanjing (formerly Nanking), China. ",170
"21 Till arrival, broke into native greeting (6)"," HARROW : ARR(abbrev. for “arrival” or “arrival time”, as seen in transport schedules) contained in(broke into) HOW(a representation of the word supposedly used by Native Americans as a greeting). Answer: To use a harrow, an implement dragged over soil to level it, break up clumps, remove weeds, etc., which is part of the work required to till;farm the land. ",361
1 WATERLAND Swift work women learnt in translation in a day (9)," W (women) + ins of TERLAN*(LEARNT) in A D (day)Waterlandis a 1983 novel by Graham Swift. It is considered to be the author’s premier novel and in 1992, was made into a film. 6,",177
"9 LAST ORDERS Older stars transformed Swift work (4,6)", *(OLDER STARS) Last Ordersis a 1996 Booker Prize-winning novel by British writer GrahamSwift. ,95
8 JONATHAN Swift’s working at hotel in winter time (8)," Ins of ON (working) + AT + H (hotel) in JAN (January, winter time) ",68
"10 ADVERB It qualifies grammatically, for instance (6)", Quite self-explanatory. An adverb is a word that qualifies a verb and grammatically is an example of an adverb ,112
