clue,exp,len
24. Issues Times dealt with (5),"   EMITS TIMES*Times has lots of anagrams: I first thought this should be ITEMS, and MITES almost workds – mites = children = issue.. ",134
25. Bus station for one on foot after a lift (5),   DEPOT (TO PED)< ,19
"1 CAM-VALVE I think there is such a part in an engine, LV is 55, and I can’t see anything else that sensibly fits the crossing letters but Help! I can’t see the wordplay: Know-how combined with 55 parts power (3-5)", 5 SKETCH [thi]S KETCH (boat) Def: draw ,40
"10 ALTOS Def: Singers, but help! I can’t see the wordplay: Key very good for backing singers (5)"," 11 NOSTALGIA (IT’S A LONG A)* AInd: novel Def: Passion for history. First clue solved. The anagram fair leapt out at me – plus the accurate definition 12/8 WITH GLOWING HEARTS The motto of this Winter Olympics. Naturally, I had to check this but did guess it from the crossing letters and solved at the end in combination with 29A and 23D. Wordplay: (WHAT GOING WHISTLER)* AInd: could be ",389
13 RUT I think this is a CD referring to the lines on your forehead: Top of brow wiped dry heat (3), ,1
"1. Drug for river blindness, one that’s jolly uncomfortable etc when injected in vein (10)",   IVERMECTIN I + ((RM + (ETC*)) in VEIN) convoluted wordplay to start ,71
11. Quite bowled over about kiss that’s exciting (4), SEXY (YES<) around X ,22
12. Novelist’s unique creation: ‘Money bags I make’ (8)," OCHIDORE I DO in OCHRE a Charles Kingsley ‘non-word’ meaning shore-crab; lovely mislead with ‘money bags I make’, with ‘bags’ here meaning to grab hold/surround of ‘I DO’ ",172
13. Thick silky fabric: swindle contains a cheaper one? (6)," CREPON REP in CON 14. ‘Bridge Road’? Place half reduced in recession (4) ACOL LOCA(tion)< a bridge (card game) system of bidding named after Acol Road in London, so a double definition as well as word play here ",212
"16. Groove cut to receive edge, blunt (6)"," REBATE dd Chambers seems to refer to ‘rabbet’ as the lead word here, but I think ‘rebate’ is more commonly used when referring to a groove in wood etc. ",153
17. Basques in revolutionary cause about autonomous region (7), EUSCARA AR in (CAUSE*) ,24
18. Stirred cooking pan when half reduced (5)," WOKEN WOK + (wh)EN 20. Delirious US grimalkin’s lost in sweet extract of whey (9, 2 words) MILK SUGAR (US GRIMALK(in)*) ",121
23. Exercise: reversed spiral turn I do twirling wing-like (9), PTERYGOID PT + (GYRE<) + (I DO*) ,34
"25. Don presenting extract of verse, Norwegian (5)"," SENOR hidden; verSE NORwegian 26. Intimate of Siegfried S. has look around Italian town (7)  LIVORNO LO around IVOR N(ovello) the reference here is to Siegfried Sassoon, war poet, and his affair with Ivor Novello. I spent a while searching the war poets for an IVOR (Ivor Gurney is one, and this detracted me for a bit). BTW, the excellent (and harrowing) film regeneration is worth a watch ",392
28. Observation I put into slip retracted(6), ESPIAL (I in LAPSE)< ,22
31. Alchemist’s tincture of what might be classified (4), TOAD TO + (classified) AD See entry under BUFO in Chambers ,60
32. Lush no longer let out after six? (6), VIRENT VI + RENT I spent a while looking for VIVENT here ,58
"33. Like many an east end trip, alas, badly organized (8)"," TRIAPSAL (TRIP ALAS)* Is the definition accurate here? ‘many an east end’ doesn’t really mean ‘having three apses’, I feel ",124
"34. Pipe put under water, we hear (4)"," DUCT homophone of DUCKED With my Pompey accent, I had to say this a few times to make it work 🙂 ",97
"35. Suffering, like Samson latterly might one suppose? (10)"," DISTRESSED DIS TRESSED This old chestnut with a newish take. Not like AZED clueing we have come to expect, really Down ",120
"2. Being tart, displays immorality including what’s jure punished (8)", VERJUICE (JURE*) in VICE ,26
3. River requiring constant management (4), EXEC EXE + C ,14
"4. Percy, dissolute knight fixing post in Oxford or Cambridge? (6)", RYPECK (PERCY*) + K ,21
5. An implement no longer used for lifting greens? (5), MOOLA (A LOOM)< greens = money = moola. Great misleading surface reading ,74
"6. Chewed rich cigar, suggesting swollen fingers? (9)", CHIRAGRIC (RICH CIGAR)* ,25
"7. Channel with a strong current, one with early freshness in Scottish river (7)"," TIDEWAY I DEW in TAY 8. Blunt response from Parisian populace to M. Antoinette offering meal? (6) NOCAKE Punning sort of &lit. clue ref: Marie Antoinette; ‘Nocake’ is a meal made with parched maize, so I guess the starving French may have tried to eat it ",256
9. Bazaar’s ending – going round it discerned tat (4)," GROT R in GOT 10. E.g. deer, despatched, misguided noodle stuffed (10) SELENODONT (NOODLE*) in SENT ",101
13. Bodice: sewn border I put inside and the rest taken up (10), CHEMISETTE HEM I SET in (ETC<) ,32
15. Reception rooms for grand French ladies in court – most fell (9), CRUELLEST RUELLES in CT See FELL³ in Chambers ,47
19. Controversial artist in the future denied first distinction (8), EMINENCE (tracey)EMIN + (h)ENCE The artist Tracey Emin ,56
21. One steamer within another making pounds for the Scots? (7), STRAMPS TRAMP in SS ,21
"22. Voluntary, and più mosso, outstanding (6)"," UNPAID (AND PIU)* mosso = animated, the anagram indicator. Is ‘outstanding’ superfluous here? Two definitions here, one each end of the clue! ",143
24. Fare accompanied by beans – we were loaded! (6)," GOURDS GO + URDS Gourds are die, so a cryptic sort of definition ",66
"27. Flimsy stuff, paltry, with nothing in it (5)", VOILE O in VILE ,17
29. Rowan sometimes planted amid grass or bracken (4), SORB hidden: grasS OR Bracken ,31
"21 Dawn, English, and very large! (3)",” EOS. Ref Dawn French “,24
5 Physicist upset one restrained by caution (5),” DIRAC. Chambers: card = a comical or eccentric person; caution = an amusing or astonishing person or thing (inf). No football reference intended. “,149
"6A STOMA  Opening bible, perhaps out of church (5)", / STOMACH (‘bible’ can mean ‘third stomach of a ruminant’) less CH (church) ,77
10A OWRIE  Dress I wore in Aberdeen a bit shabby (5), / anag (i.e. dress) of I WORE ,31
"12A FUMOUS  Like Holmes’s pipe, renowned when University’s American (6)"," / FAMOUS (renowned) with second letter as U (university) for A (American) – thematic reference to Holmes and pipe smoking 13A AKBAR (DOST)  2nd of 4: Arab king, possibly (4) / anag (i.e. possibly) of ARAB + K (king) – no definition ",233
15A OOMPAH  Tuba sound from one absorbed by enthusiasm (6)," / OOMPH (enthusiasm) absorbing A (one) 17A TOOTOO  Exquisite horn sound soon scupper tin (6, hyphenated) / TOOT (horn sound) plus SOON without SN (tin) ",153
18A ABY  No longer continue forever outside Britain (3), / AY (forever) around (outside) B (Britain) ,45
21A KRIS  Kings ones to stab with a dagger (4), / K + R (both abbreviations for King) + IS (ones) 22A SINGH (MAHOMET)  3rd of 4: Timeless things recollected (7) / anag (i.e. collected) of THINGS less T (time) – no definition ,178
24A MOHUR  Once more fling mostly gold coin (5), / MO (obsolete for ‘more’) + most of HURL (fling) – MOHUR being a gold coin ,77
25A OVINE  Sheepish Six in one (5), / ONE with VI (six) inside ,28
26A DWINDLE  Tremor in Perth outside beginning to wane and fade away (7)," / DINDLE (Scottish for thrill, vibration, tremor) around W (beginning to ‘wane’) ",82
27A BALFOUR  Fellow involved in smearing of Labour? (7), / F (fellow) involved in anag (i.e. smearing) of LABOUR – whole clue is the definition(?) ,91
31A ANT  Insect’s old if it’s small (3)," / double defn – ANT = insect, AN’T = archaic abbreviation (i.e. ‘small’) of ‘IF IT’ ",85
32A GNAMMA  Description of hole by Australian at last found in letter (6)," / N (last of Australian) in GAMMA (letter) – ‘gnamma hole’ being Aboriginal Australian for a rock hollow in the desert 35A BOO-HOO  After old boy returned to Ohio we Scots weep noisily (6, hyphenated) / BO (OB, or old boy, returned) + OH (Ohio) + OO (Scottish for ‘we’) ",271
37A OOHS  Expressions of pleasure as Soho’s lit (4)," / anag (i.e. lit, or drunk) of SOHO ",37
38A GRANNY  Elderly relative’s old to go round North Norway (6)," / GRAY (mainly American version of grey, or old) around N (North) + N (Norway) ",80
39A YOKES  Joins together one agreement in another (5), / OK (agreement) in YES (another agreement) ,45
"40A EVENS  Poetic nights, timeless occasions (5)"," / EVENTS (occasions) without T (time) 41A FOURCROYA  Plants their name comes from mad French King, see? (And what he must be, mostly) (6) / FOU (French for foolish, or mad) + R (king) + C (see) + most of ROYAL – Fourcroya being a genus of plants, yielding hemp – another drug reference?     /  Down Clue No Solution (and entry, if different)  Clue / Logic ",357
1D TODY  Small insectivore one’s escaped from this time? (4), / A (one) escaping from TODAY (this time) – TODY being a small insectivorous bird from the West Indies ,104
2D ORSON  Golden boy who played Citizen Kane (5), / OR (gold-en) + SON (boy) – as in Welles ,43
3D BITO  A little round tree (4)," / BIT (a little) + O (round) 4D FOUR-FOOTED  Gathering of true food, like beasts (7, hyphenated) / anag (i.e. gathering) of OF TRUE FOOD ",138
7D TOMPIONS  Clockmaker’s starting to sell plugs (8)," / pluralised double defn – (Thomas) TOMPION – watchmaker in the 1700s – plus S (start to sell), and TOMPION also a variation of tampion, a protective plug ",156
8D OUP  Oscar’s riding to join in Edinburgh (3)," / O (Oscar) + UP (riding, as in a horse), OUP being Scottish word to bind with thread, or join 9D ASHY-GREY  Pale coloured yager riding around reluctant (8, hyphenated) / anag (i.e. riding) of YAGER, around SHY (reluctant) ",224
11D ENTAME  Once subdue some violent Americans (6), / hidden word in violENT AMEricans ,36
24D MILADY  Respectful address for gentle one inside middle of crypt (6), / MILD (gentle) with A (one) inside + middle letter of crYpt ,62
28D LIONS  Pride one’s only shortly displayed (5), / anag (i.e. displayed) of I (one) + S (plural) and ONLy cut short ,68
29D FOURGONS  Sun or fog disrupt baggage wagons (5), / anag (i.e. disrupt) of SUN OR FOG – a fourgon being a French baggage wagon ,78
30D SMOKO  Badly mistook it leaving for a tea break in Perth (5)," / anag (i.e. badly) of MISTOOK without IT, Perth as in Australis, this time – see 26 ",86
33D MOOR  Heath is to tie up his yacht! (4)," / double defn – MOOR = heath, and to tie up a boat. Nice additional allusion to yachting enthuisiast Ted Heath ",112
34D OSSA  Officer’s first on ship with athletic bones (4), / O (officer’s first letter) + SS (steam ship) + A (athletic) ,63
1. Part of the UK was invaded by the French (5), WALES LE(French ‘the’) in WAS ,31
"4. Purchase, on the phone before work, a derivative (2-7)"," BY-PRODUCT homophone of ‘buy’=BY+PRODUCT(work) the homophone indicator is ‘on the phone’ 9. Thorough? Off-target twice, apparently (3-3-3) OUT-AND-OUT cd; OUT=missing the target, as in darts e.g. ",197
10. Treacherous type losing wife’s support (5), EASEL (w)EASEL ,16
"11. Fragment Marlene forced out of wealthy landowner, perhaps (9-6)", GENTLEMAN-FARMER (FRAGMENT MARLENE)* ,38
12. Storming start (5), ONSET dd ,10
"14. Tennis player, contemptible on passenger ship? (9)"," BASELINER BASE(contemptible)+LINER style of tennis playing, Bjorn Borg being a typical (brilliant) example; (Jim Connors was too, sometimes) 16. Hope film director’s put in new oratorio (4,2,3) ROAD TO RIO D(irector, as in managing director ‘MD’) in (ORATORIO)* Ref. to Bob Hope in the great ‘road to…’ film series with Bing Crosby and Dorothy Lamour ",352
18. Hare off across middle of neutral ground (5), EARTH (HARE*)+(neu)T(ral) ,27
"19. Work for a pianist after the day job? (9,6)", MOONLIGHT SONATA sort of cd Hear it here ,42
21. Expresses mild disapproval in front of one Bantu tribe member (5), TUTSI TUTS+I See Tutsi ,24
22. Lourdes so relaxing being free from smell (9), ODOURLESS (LOURDES SO)* ,25
"23. Tiny fish in good bowl, item used by cook (6,3)", FRYING PAN FRY+IN+G+PAN ,25
24. Floral feature has tulip’s head in centre of ring (5), PETAL T(ulip) in PEAL(ring) Down ,34
1. Offender harassed dog owner on end of pier (9), WRONGDOER (DOG OWNER*)+(pie)R ,31
"2. Tell principal of Loughborough College (3,2)", LET ON L(oughborough)+ETON(college) ,37
3. Sleeveless shirt – team’s leader is after one (7), SINGLET SINGLE+T ,18
"4. Literary people blog Rob Roy, sum up novel (10,5)"," BLOOMSBURY GROUP (BLOG ROB ROY SUM UP)* interesting clue in that a few years ago, ‘[we]blog’ was an unknown word and this anagram would be nonsense 5. Act firmly to gain momentum (3,4,4,4) PUT ONES FOOT DOWN cdd ",213
6. More than a couple of pounds altogether (7), OVERALL OVER+A+LL ,19
"7. Constellation seen from Mars in our galaxy? (4,5)"," URSA MINOR (MARS IN OUR)* galaxy seems to be the anagrind; Chambers defines ‘galaxy’ as a ‘splendid assemblage’, i.e. made up of the parts ",140
8. Row about lodge’s first doorkeeper (5)," TILER L(odge’s) in TIER a tiler is a Freemason doorkeeper; Dodgy handshakes to get in, one presumes? ",102
"13. Able to endure stormy weather was theory, unfortunately (9)", SEAWORTHY (WAS THEORY)* ,25
15. Tries during proper practice session (9)," REHEARSAL HEARS(tries, as in court) in REAL(proper) ",53
17. Incredible bar in European capital (7)," TALLINN TALL(incredible, as in ‘tall story’)+INN Capital of Estonia ",69
"18. Ecstasy obtained by tearaway, as a boost to self-esteem? (3,4)", EGO TRIP E(the drug ‘ecstasy’)+GOT+RIP ,40
19. Second suitable upturned design (5), MOTIF MO+(FIT<) ,17
1. Mechanic about to return on locomotive (8), ENGINEER (RE<) after ENGINE ,29
5. Outcome of increased exposure (6), UPSHOT UP+SHOT ,16
9. Intricate patterns in wing of church (8), TRANSEPT (PATTERNS)* ,22
10. Delay robbery (4-2), HOLD-UP dd ,12
12. First-rate golfer turned back in corridor (5), AISLE AI+[ernie](ELS<) ,24
13. Release one rodent into river (9), EXONERATE ONE+RAT in (river)EXE ,33
"14. I restrict others exercising a dog (8,7)", SCOTTISH TERRIER (I RESTRICT OTHERS)* 16. Eccentric etcher resettles in a Durham town (7-2-6) CHESTER-LE-STREET (ETCHER RESETTLES)* ,133
19. Childish supporter wearing trendy hat (9), INFANTILE IN(trendy)+TILE(hat) around FAN ,43
21. Modest receiving second prize (5), PURSE S in PURE ,17
23. Sign for reference book he’s taken out (6), TAURUS T(hes)AURUS ,20
24. Secret assembly may become depressed with pound involved (8), CONCLAVE L(ibre) in CONCAVE ,29
"25. Chat with French artist, one dropping out (6)", NATTER [jean-marc]NATT(i)ER ,29
26. Adulation adroitly put in a new light (8), IDOLATRY (ADROITLY)* Down ,27
1. Another bit player (5), EXTRA dd ,10
"2. Statesman, happy one seen crossing street (9)", GLADSTONE GLAD+ONE around ST ,30
3. Just beginning climb after noon (7), NASCENT ASCENT after N(oon) ,29
"4. This should get you there quicker from state school (7,5)", EXPRESS TRAIN EXPRESS(state)+TRAIN ,36
6. Hebridean isle almost rounded by fellow explorer (7), PIONEER PEER around ION(a) ,28
7. Monster in Hardy novel (5), HYDRA (HARDY)* ,16
8. Private has to respect changes (3-6)," TOP-SECRET (TO RESPECT)* 11. So that the facts are clear, keep report about ambassador (3,3,6) FOR THE RECORD FORT+RECORD around HE (his excellency=ambassador) ",161
"14. Sexton’s article supporting racists, unfortunately (9)"," SACRISTAN AN after (RACISTS*) another word for a church’s sexton, keeper of records ",85
"15. What may bar and tinnie, if drunk, provide? (9)", INEBRIANT (BAR+TINNIE)* sort of split anagram clue ,52
17. Hairstyle in fashion? Certainly (7), TONSURE TON(fashion)+SURE ,27
"18. Newsworthy subject, a leader in London (7)", TOPICAL TOPIC+A+L(ondon) ,26
"20. Opera, big round the States (5)", FAUST FAT around US ,21
1.  Unduly led astray by star for so long (6-3), TOODLE PIP TOO+(LED*)+PIP ,27
6. Drank regularly round base (5)," DEPOT (TOPED)< 9. It’s more than likely this’ll give you a good run for your money (4-2,9) ODDS ON FAVOURITE sort of cd ",121
10.  Sympathetic cheering (6), GENIAL dd ,11
11. Knife fight about cash register with one pound missing (8), STILETTO TIL(l) in SET-TO ,27
"13. Lie in bed, poorly, not fit enough to eat (8)", INEDIBLE (LIE IN BED)* ,24
14. The pair answer a South African politician (5), BOTHA BOTH+A(nswer) ,21
"17. Father embracing sapper, 22 (5)", DREAD DAD around RE ref: 22ac ,31
"18. A setter barking round end of rose bushes (3,5)", TEA TREES (A SETTER + (ros)E)* ,32
20. Spelunkers sheltering notice corpses (8), CADAVERS AD in CAVERS ,23
"22. Troublesome child, last to admit mistake (6)"," TERROR T+ERROR 24. Two articles about unseen spymaster in film (3,9,3) THE INVISIBLE MAN (THE+AN) around INVISIBLE M (james bonds’ boss) ",138
25. Poor performer spending time with teacher (5)," RABBI RABBI(t) rabbit=an inferior player at golf, cricket etc. ",64
"26. Orchid exposed by peeress (5,4)", NAKED LADY NAKED(exposed)+LADY Down ,37
1. Right in grip of hard depression (6), TROUGH R in TOUGH ,19
2. One restricted by guns regulation (9)," ORDINANCE I in ORDNANCE 3. Vindaloo and rice prepared for a famous painter (8,2,5) LEONARDO DA VINCI (VINDALOO AND RICE)* nice anagram ",136
4. Seabird’s lost in gust (4)," PUFF PUFF(in) 5. Pedestrianise, to make progress easier? (4,3,3) PAVE THE WAY dd ",82
"6. Ambiguous, like Sackville-West? (6-9)", DOUBLE BARRELLED example definition type clue & dd ,52
7. Suggest a tip (5), POINT dd ,10
8. Abstemious count after support (8), TEETOTAL TOTAL(count) after TEE(support) ,42
12. A cleansing process alien to Serbians (10), ABSTERSION (TO SERBIANS)* ,27
"15. Teacher confused about one mass, a peninsula (3,6)", THE CRIMEA (TEACHER*) around I M(ass) ,39
16. Teacher courted a disaster (8), EDUCATOR (COURTED A)* ,23
"19. Alcoholic drink, make unknown (6)", BRANDY BRAND Y (as opposed to brand x) ,40
21. Boring type starts to discuss weatherman’s early evening broadcast (5), DWEEB leading letters ,23
"1 With attic emptied, can antique repair go to someone I know (12)", ACQUAINTANCE charade of A(tti)C charade of + anagram of CAN ANTIQUE indicated by ‘repair’  ,92
8 Launch first rounds jetty delivering more bananas (7), LOOPIER charade of L(aunch) + OO (= ’rounds’) + PIER (=jetty)  ,64
9 Rimmel make-up’s after good glow (7), GLIMMER anagram of *RIMMEL after G(ood) ,41
11 Talked big of man going after snakes (7), BOASTED charade of TED (=man) after BOAS (= snakes)  ,54
12 Garden tools wore out after time with beginners (7), TROWELS charade of anagram of *WORE after T(ime) + LS (= beginners) ,69
13 Be up to working with young wood (5)," EBONY charade of  <BE (reversed, indicated by ‘up’)+ ON (=working) + Y(oung) I’m not too happy with ‘up’ being used to indicate reversal in an across clue.  ",158
"14 Former boss is a great painter (3,6)", OLD MASTER  charade of OLD(= ‘former’) + MASTER (=boss’)  ,59
16 Preliminarily model’s lacking pair of hats (9)," MILLINERY anagram of *PRELIMINARILY (indicated by ‘models’), minus (= lacking) PAIR Chambers online: milliner noun someone who makes or sells women’s hats. millinery noun 1 the hats and trimmings made or sold by milliners. 2 the craft of making such articles. ",261
6A (5),  SKANK Dance abandoned with 1000 inside / SANK (abandoned) with K (thousand) inside ,85
12A (4),"  GAEA Morag’s to work with a goddess / GAE (Scottish, i.e. Morag’s, to go, or work) with A ",92
13A (4),"  NOIR This describes some café, definitely not Irish! / NO (definitely not) + IR (Irish)  ",91
15A (5),  ARABA Horse in front of a carriage / ARAB (horse) + A ,56
16A (6),  SCRAGS Southern cliff’s rough projections / S (southern) + CRAGS (cliffs) ,76
17A (7),"  SMARTIE The know-all merits a thrashing / anag (i.e. thrashing) of MERITS + A 18A (8, 2 words)  WHITE OUT Subject to a blinding flash without energy being dissipated / anag (i.e. dissipated) of WITHOUT + E (energy) ",217
20A (5),"  HAVER Northern oats holder / double defn HAVER = holder, or owner, and also Northern dialect for oats ",104
23A (6),  ECBOLE E+COBLE Recess following executive committee digression / EC (executive committee) followed by BOLE (recess) ,118
24A (4),"  ICES Independent tax cut freezes / I (independent) + CES (tax, ‘cess’, cut short) ",84
25A (5),"  SLURP Slight soft sound when drinking / SLUR (slight, or insult) + P (piano, soft) ",85
27A (4),  SPET Rain for some is cherished / S (contraction of ‘is’) + PET (cherished) ,78
28A (6),"  POSTIE Perth’s delivery man parking on old path / P (parking) + O (old) + STIE (path) – double use of Perth, as ‘postie’ can be Scottish or Australian colloquialism for postman ",179
32A (5),  EPACT EP+CAT Agreement on electronic age of the moon / E (electronic) + PACT (agreement) ,91
34A (8),  BARBUSSE Kiss accepted by naked French writer / BARE (naked) accepting BUSS (kiss) ,85
37A (7),"  DIMPLES Bubbles, dead simple to burst / anag (i.e. burst) of D (dead) + SIMPLE ",81
38A (6),"  KATIPO NZ spinner leaves India humourless / KAT (qat, or kat = leaves chewed or used as tea) + I (India) + PO (humourless). Katipo is a type of venomous spider native to New Zealand, not a Kiwi cricketer! ",207
40A (5),"  GROUF G+FOUR Scots face squad lacking power and force / GROU (squad, or group, without P – power) + F (force). Grouf being an obsolete Scottish word for the face, or front of the body generally. ",197
41A (7),  ARREARS Annual return raises unpaid debts / AR (annual return) + REARS (raises) ,82
42A (4),"  ROON Duck seen in river on Scottish border / R (river) + ON with O (duck) seen inside. Roon being (yet another!) Scottish word, this time for a strip, or border, of material. ",177
43A (4),  DRIP Penny saw a wimp / D (old penny) + RIP (saw) ,52
44A (5),"  MOTEY The old prostitute returned with a blemish / YE (the, old) + TOM (prostitute) returned ",95
1D (4),  DANS Book society titles / DAN (Biblical abbrev. for the Book of Daniel) + S (society) ,89
2D (5),"  REICH Spain in productive state / RICH (productive) with E (Espana, Spain) inside ",84
3D (7),  AVIATES Flies are destroyed within six seconds / A (are) + VI (six) + ATE (destroyed) + S (seconds) ,102
4D (7),"  NAGGERS Shrews close to exhaustion facing mounds of earth / N (last letter of exhaustion) + AGGERS (Roman, mounds of earth) 5D (6, 2 words)  EATS UP A pet out with us finishes the meal / anag (i.e. out) of A PET + US 6D (8, hyphenated)  SEAM-RENT SEAM+TERN Are men dancing in street with torn clothes? / anag (i.e. dancing) of MEN ARE, in ST (street) ",353
7D (5),  KARMA KA+RAM One of the Bangles holds my destiny / KARA (Sikh bangle) holding M (contraction of ‘my’) ,104
9D (6),"  NOBBUT NOB+TUB VIP objection, only in places / NOB (VIP, person of wealth, high social rank) + BUT (objection). Nobbut = dialect conjunction of no and but. ",158
11D (4),  MERI Madam Elizabeth in the club? / M (madam) + ER (Elizabeth Regina) + I (contraction of ‘in’) ,98
18D (9),"  WHIPCORDY WHIPC+DORY Over dry ground stray cow eating fruit like some seaweed / WHIPCO – anag (i.e. stray) of COW – with HIP (fruit) inside, over anag (i.e. ground) of DRY ",174
19D (4),"  FLEA An insect flourished by running water / FL (abbrev of ‘floruit’, Latin for flourished) + EA (running water/drainage channel) ",132
21D (4),"  ATOC A+COT Rising sloth leaves sterility in a female musteline / ATOC = ATOCIA (sterility in a female) without IA (sloth, AI, rising) 22D (8, hyphenated)  ALE-BERRY A beverage made from extremely ripe barley / anag (i.e. made from) BARLEY + RE (extreme letters of ripe) ",272
26D (7),"  PEACRAB PE+BARCA A marine creature, mostly quiet runs about, not seawards / PEAC (mostly peace, or quiet) + R (runs) + AB (about, without ‘out’, or seawards) – and a secondary indication, in that a peacrab is a marine creature which would run about sideways… ",261
27D (7),"  STIPULE S+PUTELI A leafy appendage? It’s reflected on pipe / STI (it’s, reflected) + PULE (pipe) ",99
29D (6),"  SAMFOO South American female wearing low outfit / S (south) + AM (American) + F (female) in MOO (low, as in cattle). Samfoo being a jacket+trouser outfit, worn by Chinese women ",179
30D (6),"  TINPOT TI+PONT Fool raised grass of poor quality / TIN (nit, or fool, raised) + POT (grass, as in marijuana) ",111
31D (6),"  FASCIA FA+SAIC Fellow, once a copper, spies an old band / F (fellow) + AS (Roman copper coin) + CIA (spies) ",110
33D (5),  ELUDE Omit ninety out to escape / ELUDE = EXCLUDE (omit) with XL (90 in Latin numerals) taken out ,100
35D (4),"  SIAM Mother lives up country / SIAM = MA (mother) + IS (lives), up ",69
36D (5),  SUPRA S+PRAU Drink to god above / SUP (drink) + RA (Egyptian sun god) ,72
"1. Clue : Away game was scene of painting (5,6)", Answer : FORTH BRIDGE Is this obvious ?. Well not to me. I was thinking along the lines of : now where was Constable’s Haywain painted ?. I think it’s an excellent clue. ,171
2. Clue : Pray to be given frost for soil (7), Answer : BEGRIME Maybe not the best of surfaces but certainly not lite lite. ,78
3. Clue : Worrying book about money (11), Answer : TROUBLESOME A good surface and is it so obvious that the money had to be roubles and the book had to be tome. These are hardly words that you hear in everyday conversation. You don’t hear someone say “have you read the new tome on roubles”. So why is this so lite lite ?. Is it because the only obvious synonym for worrying is troublesome ?. ,352
1. Prince in favour of metal supports (10), FORTINBRAS FOR+TIN+BRAS(supports) a prince in Hamlet ,54
"6. Items stolen from son, habitual joker (4)", SWAG S+WAG ,12
"10. Loud, and not just in pleasure ground (7)", FUNFAIR F(forte=loud)+UNFAIR ,30
11. Fish in European river – member gets a small number (7)," POMPANO MP in PO(E. river)+A NO 12. Uncomfortably hot, I tell her off on a whim (3,3,4,2,2) FOR THE HELL OF IT (HOT I TELL HER OFF)* ",134
14. Record broken by unknown composer (5)," LISZT Z(unknown, as in maths, x,y,z) in LIST ",46
"15. Soldier and sailor back on leave (6,3)", DESERT RAT (TAR<) after DESERT(leave) nice clue ,49
"17. Duke is vulgar, reportedly, in speech (9)", DISCOURSE D+IS+COURSE(homophone of coarse) ,44
