clue,exp,len
8 DERISORY Ridiculous order is changed before end of day (8), ORDER IS* before Y (end of daY) ,33
11 HEEP Uriah is an unthinking follower heading off (4)," sHEEP (unthinking follower, without starting character) ",57
15 SHEERNESS Quality of cliffs in Kent location (9), cryptic clue ,14
17 IMPROPER This person’s given support with little hesitation – it’s wrong (8), I’M (this person’s) PROP (support) ER (little hesitation) ,59
19 SKID Snow now melting and child makes dangerous move (4), S (Snow without ‘now’) KID (child) ,36
20 MEGATON Not a stone to raise – big weight (7), reverse of NOT A GEM (stone) – Not a big fan of this clue either ,66
21 BELTED Moved quickly with trousers unlikely to fall down? (6), cryptic clue ,14
7 TENUTO Sustained section of allegretto tune totally recalled (6), Reverse hidden in allegrettO TUNE Totally ,43
8 CHACONNE Church expert holding on with note in musical form (8), ch. ac(on n)e ,15
9 SUNNITES Names borne by followers – Muslims? (8), su(n n)ites — I couldn’t really see why suite = follower but Chambers gives “a train of followers or attendants” ,114
10 EVENTS Stops suspending public relations stunts? (6), {PR}events ,12
11 WALL Fool shortened property boundary (4), wall{y} ,9
"12 LINER NOTES Comments with DVD suggesting you avoid Titanic? (5,5)"," 2 defs, one of them a possible interpretation of ‘liner notes’ — unfortunately not what they used to be able to be — record sleeves were a major part of my musical education, such as it was ",191
14 CRAZED Ridiculous description of street guide – little credibility about that (6), cr(AZ)ed. ,11
"15 UNITER The marrying kind, swishing endless train around (6)"," (retinu{e})rev. — not a word in everyday use, but it exists 18 FALL IN LOVE Appear on parade with nothing and lose heart? (4,2,4) “Fall in” [the military command] love ",169
20 MINE Source of coal providing smallest amount of energy? (4), min[imum] e ,13
22 STAGED Publicly showed stone of archaeological interest? (6), st. aged ,10
24 UPPERCUT Evening meal: no starter and keep away from the punch (8), {s}upper cut — presumably cut as in to cut or ignore someone ,62
25 LEGALESE The way lawyers define shelter being shot through by storms (8), le(gales)e ,12
26 SYNTAX Wrong points announced in speech outlining grammatical structure (6), “sin tacks” Down ,18
1 HECUBA Trojan Queen he found on island (6), he Cuba ,9
2 QUINELLA Put down about one number over a bet in Australia (8)," qu(1 n)ell a — a quinella is a form of bet which according to Chambers is originally US, now especially Aus ",109
"3 PORTAL VEIN Blood vessel – vital and prone to get damaged (6,4)"," (vital prone)* — the portal vein is the vein carries the venous blood from the intestines, the spleen and the stomach to the liver — no I didn’t know that ",156
4 JAPE Judge copy to be a joke (4)," j ape — someone in John Buchan says, when planning an adventure, “Is he the merry kind of lad who likes a jape?” but I can’t now find the source; does anyone know? ",165
5 BOLERO Audience disapproval swamps the French conductor’s finale in Ravel piece (6), bo(le {conducto}r)o ,21
"6 KNITWEAR Cheers about our team in icy venue, turning up in warm clothes? (8)", t(we)a in (rink)rev. ,22
8 CASINO Working one’s account towards higher level in gambling centre (6)," (on 1’s ac.)rev. — the reversal indicator being ‘towards higher level’, which looks a bit odd to me: if something moves to a higher level it is translated, not reflected, surely: if it was reflected we’d be told ",213
13 RINDERPEST Cattle disease: skin preset to go flaky (10), rind (preset)* ,16
14 CHARTRES Plans to accept scripture lessons in cathedral (8), chart(RE)s ,12
16 TAMARIND Tropical tree little seen round harbour area? Not entirely (8), ta(marin{a})d ,15
17 NODULE Number expected to seize large lump (6), no. du(l)e ,12
"19 LOG JAM Major upset after record congestion (3,3)", log (maj.)rev. ,16
21 NEURAL Newcastle area of the country? Not right at first to be nervy (6), NE [= Newcastle area] {r}ural ,31
"1 THE OAKS One of the Dragons gets return of 18d (3,4)"," THEO (Paphitis, one of the Dragons, in Dragon’s Den) + AKS ( reversal of 18d, i.e. SKA) No definition, hence a theme word, one of three solutions related to horse racing. By the way, The Oaks is also a housing development in Derby. ",233
"5 GOLD CUP Doctor once prescribed universal cold treatment (4,3)"," GP (doctor)around (U (universal) + COLD)* [* = treatment] Once more no definition, so this must be horse racingsolution no 2. ",127
"8 LOL Reading nothing between the lines, reaches an affectionate conclusion (3)"," O (nothing) inside L,L (lines) ",32
9 PANAMA Article concludes Cameron typically restricts gossip (6)," A (article) after {PM (Cameron, typically) around ANA (gossip)} Again, no definition. This one’s an example of headwear (like Derby is headwear, see 12d). ",156
11 OEDIPAL Incestuous old dutch takes ecstasy with a friend (7), O (old) and D (Dutch) together around E (ecstasy) + I (a) + PAL (friend) ,74
14 PUB Local bush trimmed twice (3), PUBES (bush) losing the last two letters (trimmed twice) ,58
15 COSEC Military leader’s city function cut short (5)," CO’S (miltary leader’s) + EC (city, more specifically the City) ",65
"17 INN-SIGN Popular junior officer, 23, found outside 14 (3-4)"," IN (popular) + [e]NSIGN (junior officer, ‘headless’ (i.e. 23ac)) ",66
18 SEEDIEST Most mangy spots around fade with time (8)," SEES (spots) around DIE (fade), then + T (time) ",49
19 FEDORA Five extremists turn bar into academy (6), F[iv]E + DOR (reversal of ROD (bar) + A (academy) This is headwear no 2. ,74
"22 ADDERS Board game, left out, provides both definition and solution (6)"," Snakes and Ladders is the board game, ‘snakes’ is the definition, LADDERS minus L (left) the solution ",103
23 HEADLESS Leader has not so much as a word for victims of execution (8), HEAD (leader) + LESS (not so much) ,36
25 DWARVES Cartoon miners draw badly with half of curves missing (7), (DRAW)* + [cur]VES [* = badly] ,32
26 RESTS Remains on the streets (5)," RE (on) + STS (streets, plural of ST) ",39
28 ENS Being one short for a rubber of bridge? (3)," E,N,S are three bridge players, one short to playthe game ",59
"29 DATA SET Computer file backed up somewhat inflexibly (4,3)", DATA (reversal of A TAD (somewhat)) + SET (inflexibly) ,56
31 HEYDAY Golden era when colour returns in dried grass (6), EYD (reversal of DYE (colour)) inside HAY (dry grass) ,55
"32 SUE Follow our team, backing European leader (3)", SU (reversal of US (our team)) + E (European) ,47
"34 PORK PIE Confusion follows humourless queen’s meeting with king (4,3)"," PIE (confusion) following {PO (humourless) + R (queen) + K (king)} The final headwear, last thematic solution of a set of three. ",130
"35 ST LEGER Setback overcome by disturbed rest (2,5)", LEG (reversal of SET) inside (REST)* [* = disturbed] An annual horse race at Doncaster – a theme word to join 1 and 8 ac. Down ,128
"2 HIPPO Henrietta, children’s TV character created by fashionable teletubby? (5)", HIP (fashionable) + PO (Teletubby) ,36
3 OWN Have nothing on when gas escapes (3)," O (nothing) + W[he]N (the deleted He being helium, a gas) ",59
4 SLAPDASH Messy outcome of hit-and-run? (8)," SLAP (hit) + DASH (run) 5 GLOBIN Throw up, intoxicated by drink – bloody typical! LOB (throw up) inside GIN (drink) ",117
6 DEI Roadside bomb blown up – ye gods! (3)," Reversal of IED (roadside bomb, Improvised Explosive Device) ",62
7 PYLON Supporter of current supplier to failing northern technical college (5), (N (northern) + POLY (technical college))* [* = failing] ,58
10 ARCHITRAVES Computer systems used in mischievous parties – they surround the entrances (11), IT (computer systems) inside {ARCH (mischievous) + RAVES (parties)} ,69
"12 DONKEY DERBY In this contest, Quixote perhaps has a crucial local tie, while another Indy setter backs the old bowler (6,5)"," DON (Quixote, perhaps) + KEY (crucial) + DERBY (local tie) Alternatively: DONK (Indy setter, another one – not Quixote) + EY (reversal of YE (the old)) + DERBY (bowler, a hat) ",177
"13 PRISONERS Convicts murderers, no less – that’s about right (9)"," POISONERS (murderers) minus the first O (indicated by ‘no less’), then around R (right) ",89
16 STEADFAST Firm dates must be rescheduled pdq (9)," (DATES)* + FAST (pdq, pretty damn quick) [* = rescheduled] ",60
18 SKA Jamaican music – Kingston’s first to be involved in it (3)," K[ingston] inside SA (it, sexual appeal) ",42
20 ASS Buffoon‘s out of date at heart (3), [p]ASS[e] (out of date) ,25
21 REHASHES Woman’s turning up during man’s modifications (8), REH (reversal of HER (woman’s)) + AS (during) + HE’S (man’s) ,62
24 TSETSE Group within group arranged to fly (6), SET (group)inside (SET (group))* [* = arranged] ,49
"25 DID UP Upgraded papers needed in political party (3,2)"," ID (papers) inside DUP (political party, Democratic Unionist Party) ",69
27 THYME Rosemary’s associate‘s an unknown member in the enclosure (5)," Y (unknown) + M (member), together inside THE ",47
30 AUK A country bird (3), A + UK (country) ,18
9. APPRAISER One on mobile crashing Sierra seeing judge (9),APP (one on mobile) + SIERRA* – rather unfortunate that this comes so soon after the sentencing of a lorry driver who killed four people after being distracted by his phone ,173
"10. OPINE 5 in 1, say (5)",PI (Private Eye) in ONE ,24
"11. YOKO ONO Love sex from behind hugging old singer’s wife (4,3)",O in reverse of O (love) + NOOKY ,33
12. VIOLENT New colour walls intense (7),N in VIOLET ,12
"13. OWNED Had ring, got married around noon (5)",O (ring) + N in WED ,20
19. RIGMAROLE Doctor and mother almost watch performance (9),RIG (to doctor) + MA + ROLE[X] ,31
21. CHARM Trinket in tea room (5),CHA (tea) + RM ,15
"22. STIMULI So, time up! Lie endlessly to get incentives (7)","So TIMe Up LIe, with the last letters omitted ",46
23. DRACHMA Chapter in play is an old piece (7),CH in DRAMA ,12
24. MARGE It could be butter on reflection? (5),"Reverse of EG (it could be) + RAM (a “butter”), &lit – taking us back to the old adverts that claimed that Stork, or some other margarine, tasted like butter ",158
"25. UNDERCOAT Paint can out, red is stirred (9)",(CAN OUT RED)* Down ,20
"5. PRIVATE EYE Soldier to inspect magazine (7,3)",PRIVATE (soldier) + EYE (inspect) ,34
6. COLORADO State how Trump refers to race? Trouble follows (8),"COLOR (American spelling of “colour”, hence “race”) + ADO ",58
7. CINEMA Pictures home with space around houses (6),"IN + EM in CA (circa, about) ",29
"14. HARMONIOUS Sweet, as Mourinho gets sacked (10)",(AS MOURINHO)* ,15
"15. EPSOM SALTS They help some do business course — learner filling in exams (5,5)",EPSOM (race course) + L in SATS ,32
17. ABACUSES They reckon a conservative exploits nurses (8),A C in ABUSES ,14
"18. DEATH ROW Day airport doesn’t open place for terminal departure? (5,3)",D + [H]EATHROW ,15
20. GOITRE Swelling: it stops blood (6),IT in GORE ,11
21. CHAIRS Directors check broadcasts (6),CH + AIRS ,10
22. SOME  A little sore when run is miles (4),SORE with R replaced by M ,26
01 ADVENT Express one’s frustration on bill’s arrival 1 DEMURE Raise objection before finally retiring (6), DEMUR (raise objection) + [befor]E ,36
"4 NEWLY-WED Just married, extremely naive wife lay awed, without answers (5-3)", N[aiv]E + W (wife) + L[a]Y + [a]WED ,37
9 FUNGAL Jolly lass like Candida? (6), FUN (jolly) + GAL (lass) ,26
10 STURGEON Fish gone swimming following recurrent periods of randiness (8), RUTS (periods of randiness) backwards (recurrent) + anagram (swimming) of GONE ,80
"11 AUTHOR Removing clothes, man cuts short writer (6)", [m]A[n] [c]UT[s] [s]HOR[t] ,28
13 SMALLISH Fairly minor success nursing bad back (8), ILL (bad) backwards (back) in SMASH (success) ,47
14 NABOB Potentate and aristocrat embracing sailor (5), AB (sailor) in NOB (aristocrat) ,33
"15 CURT Dog which is scruffy, tense and snappish (4)", CUR (dog which is scruffy) + T (tense) ,40
"17 SERVILE Fawning, repulsive gentleman reportedly advancing (7)", SER (homophone of SIR) + VILE (repulsive) ,43
20 UNDO Loose gundog bounds away (4), [g]UNDO[g] ,12
24 ENNUI Boredom leads to exceptionally nosy neighbour uppinginterference (5), E[xceptionally] N[osy] N[eighbour] U[ppping] I[nterference] ,61
26 OUTBURST Bust our butts in explosion of emotion (8), Anagram of OUT BUTTS ,22
27 MOROSE Ill-tempered elk circling capital of Russia (6), R[ussia] in MOOSE (elk) ,25
28 CHEETAHS Fast runners chase the wind (8), Anagram of CHASE THE ,22
29 TICKLE Light touch of aristocratic kleptomaniac (6), Hidden word ,13
"30 TONE DOWN Beginning to tackle crossword clue in temper (4,4)", T[ackle] + ONE DOWN (crossword clue) ,38
31 SEARED Branded discontented slave a revolutionary (6), S[lav]E + A (a) + RED (revolutionary) Down ,44
1 DEFIANCE Opposition intended to support end to wind energy (8), FIANCE (intended) + [win]D + E (energy) ,41
2 MINATORY Threatening a Conservative after 60 seconds (8), MIN (60 seconds) + A (a) + TORY (Conservative) ,48
3 REASON Why “About a Boy”? (6), RE (about) + A (a) + BOY (son) ,32
5 ENTOMB Boatmen trashed a shed in Bury (6), Anagram (trashed) of BO[a]TMEN ,32
6 LORDLY Blood-red clay regularly extracted in August (6), [b]L[o]O[d] R[e]D [c]L[a]Y ,28
7 WEEPIE Little Prince? That is perhaps a book to make you cry (6), WEE (little) + P (prince) + IE (that is). The book referenced is of course The Little Prince but this is still a prize clue. ,126
8 DINGHY Little boat scudding hypnotically about (6), Hidden word ,13
12 RAVEN Black Knight chasing storm (5), RAVE (storm) + N (knight) ,27
13 SOLVENT In the black water off Cowes swallows start to vanish (7), V[anish] in SOLENT (water off Cowes) ,38
16 ALBUM LP Hartley’s second novel ultimately no good (5), [h]A[rtley] + [nove]L + BUM (no good) ,39
18 ONLOOKER Spectator occupying throne with king and queen (8), ON LOO (occupying throne) + K (king) + ER (queen) ,51
"19 BONEHEAD Wally, of unfixed abode, keeping pecker up (8)", HEN (pecker) backwards (up) in anagram of ABODE ,49
21 LOW-CUT Revealing what cows do on canal (3-3), LOW (what cows do) + CUT (canal) ,34
22 STREWN Covered back-to-front trousers with top of nightie (6), TREWS (trouisers) with ‘S’ moved to the beginning (back-to-front) + N[ightie] ,79
23 OUSTED Got rid of love duets in performance (6), O (love) + anagram (in performance) of DUETS ,46
24 ESCHEW Shun champ after last of dope tests (6), [dop]E + [test]S + CHEW (champ) ,33
1 ATTACK Criticism at change of course (6), AT + TACK (change of course) ,30
4 THICKSET Burly but brainless band (8), THICK (brainless) + SET (band) ,32
9 PALLET The favourite’s all in – made to carry a big weight (6), PET (the favourite) with ALL inside of it ,43
"10 ALL RIGHT Perfect exam performance – or just fair? (3,5)", In a ‘perfect exam performance’ you have ALL questions RIGHT ,62
12 ARTS Star-strewn university faculty (4), (STAR)* [* = strewn] ,22
13 BARMY Royal Marines seen in the sea inlet – but not all there (5), RM (Royal Marines) inside BAY (sea inlet) ,43
14 VEGA Big star gave trouble (4)," (GAVE)* [* = trouble] 17 SALT LAKE CITY US capital gives Sally a ticket – free! (4,4,4) (SALLY A TICKET)* [* = free] ",118
20 COUNTERBLAST Token expletive in defiant response (12), COUNTER (token) + BLAST (expletive) ,37
23 AMID Surrounded by a number in support (4)," M (a number, 1000) inside AID (support) ",41
24 CHIEF Main source of inspiration in cook (5), I[nspiration] inside CHEF (cook) ,34
25 SHED Sloughoutbuilding (4), Double definition ,19
28 INSCRIBE Fashionable writer will make his mark (8), IN (fashionable) + SCRIBE (writer) ,36
29 OPORTO Poor to riot in Portuguese city (6), (POOR TO)* [* = riot] ,23
30 APOPLEXY A stroke of the worst misfortune? (8)," Cryptic definition There is a straightforward definition but by adding ‘of the worst misfortune?’ , Dante uses a different meaning for ‘stroke’ – as opposite to ‘a stroke of luck’. ",182
31 ANODES Positive points in article do back different points (6)," AN (article) + reversal [back] of DO + E,S (two different (compass) points) Down ",82
1 APPRAISE A couple of pence increase in value (8)," A + P,P (couple of pence) + RAISE (increase) ",46
2 TELLTALE Revealing Rossini’s libretto? (8), The TALE of TELLiswhatthe libretto of Rossini’s opera William Tell is all about ,81
3 CREW A short cut for sailors (4), Double definition ‘Cut’ as in haircut: crew-cut. ,50
"5 HOLY MACKEREL An angel-fish? Gracious! (4,8)"," Anangel is a HOLY creature and a MACKEREL a fish, of course ",61
6 CARD The Joker in the pack? (4)," Double definition, one the clue as a whole (as underlined), the other just “(the) Joker” ",90
7 SIGNET Ring up a number of soldiers (6)," TEN (a number) + GIs (plural of GI, American soldier), together reversed [up] ",79
8 TITIAN It doubles up with an old master (6)," Twice a reversal [up, again!]of IT + AN 11 JACK-IN-THE-BOX Forsake television for toy (4-2-3-3) JACK IN (forsake) + THE BOX (television) ",138
15 SLOOP Boat causes waters to rise (5), Reversal [to rise] of POOLS ,29
16 STUBS Counterfoils seen in the ashtray (5), Double definition ,19
18 GATHERED Grade the produce harvested (8), (GRADE THE)* [* = produce] ,28
19 STUDIOUS Academic bosses admit financial liability (8), STUDS (bosses) around IOUS (financial liability) ,50
21 MANILA Wild animal seen in the Philippines (6), (ANIMAL)* [* = wild] ,22
22 FIASCO Providing back up when company is a failure (6), Reversal [back up] of IF (providing) + AS (when) + CO (company) ,65
26 ORAL Examinationof the mouth? (4), Double definition ,19
1 Keeps going with old excuse for arresting people without blemish (8), SUSTAINS – SUS (old excuse for arresting people) around (without) STAIN (blemish) ,83
5 Vehicle in which very old frolic (6), CAVORT – CART (vehicle) around (in which) V (very) O (old) ,60
"9 Tense emailer confused by true duration (4,4)", REAL TIME – an anagram (confused) of T EMAILER ,48
"10 Abstemious Jew in East German city, formerly (6)", ESSENE – ESSEN (German city) E (east) ,39
11 Target met by flirtatious cow? (8), BULLSEYE – def. & cryptic indicator ,37
12 Buy shares in underwear (6), INVEST – IN VEST (underwear) ,30
"14 Safely drops content of guts, gripped by normal pains (10)", PARACHUTES – [g]UT[s] (content of guts) in (gripped by) PAR (normal) ACHES (pains) ,84
18 Fairy ring’s to meddle ineffectually first (10), TINKERBELL – TINKER (meddle ineffectually) BELL (ring) ,56
22 First mate crosses border (6), PRIMAL – PAL (mate) around (crosses) RIM (border) ,51
23 Point to popular pet in cube (8), INDICATE – IN (popular) plus CAT (pet) in DIE (cube) ,54
24 Songs by Queen formerly gave false impression (6)," LIEDER – LIED (gave false impression) ER (Queen) 25, 1 down Watt replaces joule in Jumbo Crossword compiled in prison (8,6) WORMWOOD SCRUBS – an anagram (compiled) of W [j]UMBO CROSSWORD ",188
26 Herdsman to doctor end of message (6), DROVER – DR (doctor) OVER (end of message) ,44
"27 Very old and wise, apprehending timbre (5-3)", STONE-AGE – SAGE (wise) around (apprehending) TONE (timbre) Down ,66
"2 Rice, possibly past its sell-by date, containing source of protein (6)", STAPLE – STALE (past its sell-by date) around (containing) P[rotein] (source of protein) ,90
"3 Model turned into painting, perhaps, by painter (6)"," ARTIST – SIT (model) reversed (turned) in (into) ART (painting, perhaps) ",74
"4 Ineffectual new prime minister, May, baby-changing? (5-5)", NAMBY-PAMBY – an anagram (changing) of N PM MAY BABY ,54
6 Muscles in the 25 (8), ABSINTHE – ABS (muscles) IN THE ,33
7 Poorly rate poet’s musical production (8), OPERETTA – an anagram (poorly) of RATE POET ,45
8 Study Indian instrument endlessly picked up by large plant (8), TREATISE – SITA[r] (Indian instrument endlessly) reversed in (picked up by) TREE (large plant) ,96
"13 Contretemps resulting in reduced incidence of foot problem? (7,3)", FALLING OUT – FALLIN[g] FALL IN (reduced incidence of) GOUT (foot problem)  Edit: thanks Alastair @2 for the correction ,121
15 Dotty spinster’s starting to hit the booze (8), STIPPLED – S[pinster] (spinster’s starting) TIPPLED (hit the booze) ,69
16 A tyrant keeping up success with unremarkable protagonist (4-4), ANTI-HERO – A NERO (a tyrant) around (keeping) HIT (success) reversed (up) ,76
17 Himalayan born to carry stakes (8), NEPALESE – NEE (born) around (to carry) PALES (stakes) ,56
19 War writer turned refuse collector (6), BINMAN – NAM (war) NIB (writer) reversed (turned) ,51
20 Daddy admitting a deity to temple (6), PAGODA – PA (daddy) around (admitting) A GOD (a deity) ,56
9 FASCISM Soccer bosses scrapping third division — this rule isn’t democratic (7), F[ootball] A[ssocation]=”Soccer bosses” with SC[h]ISM=”division” scrapping its “third” letter ,95
10 QUARREL Condemned equal rights dispute (7)," (equal r r)*, where the r and r are “r[ights]” ",48
11 SUBSTANCE Reserve position on illegal drug (9)," SUB=”Reserve”, plus STANCE=”position” ",39
"12 IDLED Guided by instinct, didn’t do much (5)"," ID=”instinct”, plus LED=”Guided” ",34
13 TALE Lie back when listening (4), =a false story. Sounds like ‘tail’=”back when listening” ,58
"14 MONTEGO BAY It’s often full — I book a break in Caribbean resort (7,3)"," a Jamaican resort. MONTY=”It’s often full”, with EGO=”I”, B[ook], and A all breaking in ",89
"16 MIDDLE NAME Handle not normally used to open or close (6,4)"," cryptic definition – a NAME or “Handle”, but not the first/opening or last/closing name ",89
19 TIED Heard Rashford’s header got ruled out for United (4)," TRIED=”Heard” a court case, with R[ashford] ruled out. Marcus Rashford is a striker for Man United ",100
21 REALM Field in America very muddy at first (5)," REAL=”very” in America e.g. “a real good time”, plus M[uddy] ",62
22 BARRICADE Creator of Wendy houses not a nice man — block! (9)," J.M. BARRIE wrote Peter Pan=Creator of the character Wendy Darling, around CAD=”not a nice man” ",97
24 GNOSTIC Sign to new Catholic claiming spiritual knowledge (7), (Sign to)* plus C[atholic] ,28
"25 OLD BILL It should have been settled … with force (3,4)", =the police force. An OLD BILL should have already been settled ,65
26 DISPOSITION Underworld boss has standing arrangement (11)," “Underworld boss”=DIS’ POSITION, as Dis is the Roman god of the underworld. Down ",82
"1 BASEBALL DIAMOND Ruth’s former workplace is bad — blame an old problem (8,7)", Babe Ruth played baseball [wiki]. (is bad blame an old)* ,58
2 IDIOT Charlie returned to south of France with no money (5)," Reversal/”returned” of: TO, plus le MIDI=name for the “south of France” minus M[money] ",88
"3 DOMINGO Spaniard, one often spotted around German (7)"," a DOMINO often has spots, around G[erman] ",43
4 REQUEST Ask some more questions (7), Hidden in moRE QUESTions ,26
"5 BEARINGS Call base, maybe without awareness of position (8)"," RING=”Call”, with (base)* around it ",37
"6 MORAL OBLIGATION Worked a lot with original mob — one ought to be discharged (5,10)", (a lot original mob)* ,23
7 OFFSET Make up for not shooting? (6), OFF SET=not shooting e.g. a film ,34
8 GLADLY First slice of gateau large woman’ s eating with pleasure (6), G[ateau] plus LADY=”woman” around L[arge] ,43
15 CLEMATIS Climber‘s claim set to collapse (8), (claim set)* ,14
16 MIRAGE Vision of motorway madness (6)," MI=M1=”motorway”, plus RAGE=”madness” ",39
"17 NABUCCO Islander upset army leader and king, played by 3 (7)"," King Nebuchadnezzar, played by Placido Domingo [wiki]. CUBAN=”Islander”, reversed/”upset”; plus C[ommanding] O[fficer]=”army leader” ",134
18 MARCONI Telegraph man appearing to interrupt one runner-up (7), The inventor of the the telegraph [wiki]. ON=”appearing”; interrupting a reversal/”up” of I=”one” plus Steve CRAM=”runner” [wiki] ,131
20 DWELLS Copper’s very likely saved lives (6)," D[etective] S[ergeant]=”Copper”, around WELL=”very likely”? ",61
"8  Monster caught early Saint, getting one imprisoned (7)", CALIBAN C (caught) ALBAN (St Alban – 3rd / 4th century saint) round or ‘imprisoning’ I (one) ,94
9  Early curtailment of angry argument producing sadness (6)," SORROW SORe (angry) without the last letter, or ‘curtailed early’ + ROW (argument) ",84
"10  Cut back, restricting first of local celebrations (6)", REVELS SEVER (cut) reversed or ‘back’ round or ‘restricting’ L (first letter of ‘local’) ,90
11  Director to do well around timeless film locations? (8)," SCORSESE SCORE (do well) around SEtS (film locations) without the ‘t’ (‘timeless’) 12  Set out, drifting into small piece of Pacific? (3,2,3) PUT TO SEA An anagram of SET OUT (anagrind is ‘drifting’) in PA (first two letters, or ‘small piece’ of ‘pacific’) ",258
14  Stops losing time over middle of day? That’s smart (6), DRESSY REStS (stops) without ‘t’ (time) replacing (‘over’) the ‘a’ (middle) of DaY ,84
"15  Shocking weather circles Metro with added bit of tension, possibly (8,5)", ELECTRIC STORM An anagram of CIRCLES METRO and T (‘bit of tension’) – anagrind is ‘possibly’ ,94
19  Dozing snake seen around shelter (6), ASLEEP ASP (snake) round LEE (shelter) ,40
21  Odd bits of life completely evident in end of sea journey (8), LANDFALL L AND F (odd letters or ‘bits’ of LiFe) + ALL (completely) ,69
"24  Grain worldwide initially involved in standard economic competition (5,3)", PRICE WAR RICE (grain) W (first or ‘initial’ letter of ‘worldwide’) in PAR (standard) ,87
26  Trainers with disapproving comments about soldiers (6), TUTORS TUTS (disapproving comments) round OR (‘other ranks’ – soldiers) ,73
27  Treasurer‘s hoarse whisper about it (6), BURSAR BURR (hoarse whisper) round SA (sex appeal – ‘it’) ,59
28  Care about artist – a magician’s daughter (7), MIRANDA MIND (care) round RA (artist) + A Down ,48
"1  Held out with excuse, ditching former lover? That’s the plan (8)", SCHEDULE An anagram of HELD and exCUSE (without or ‘ditching’ ‘ex’ – former lover) – anagrind is ‘out’ ,104
"2  Court about to animate heartless defendant, in lawyer’s view (6)"," CLIENT CT (court) round LIvEN (animate) without the middle letter, or ‘heartless’ ",83
3  Takes down American military set-ups (6), ABASES A (American) BASES (military set-ups) ,46
4  No introduction of an extra burden (4)," ONUS bONUS (an extra) without the first letter or ‘no introduction’ 5  A drink’s about to be sold? Pretty much (2,4,2) AS GOOD AS A SODA’S (drink’s) round GO (be sold) ",169
6  Magician supporting whirling ropes (8), PROSPERO PRO (supporting) + an anagram of ROPES – anagrind is ‘whirling’ ,74
"7  Sitting up, disregarding one source of sibilant sounds (6)"," NOISES SESsION (sitting) reversed or ‘up’ with one ‘s’ (first letter or ‘source’ of ‘sibilant’) omitted or ‘disregarded’ 13  Almost everyone swallowing drop of rum (that is, a spirit) (5) ARIEL ALl (everyone) with the last letter omitted or ‘almost’ round or ‘swallowing’ R (first letter or ‘drop’ of ‘rum’) IE (that is) ",322
16  Duty to involve Queen in military operation (8), EXERCISE EXCISE (duty) round or ‘involving’ ER (Queen) ,56
17  Water and mop would do for this parasite (8), TAPEWORM An anagram of WATER and MOP – anagrind is ‘would do for’ ,67
18  Shops cut short pleasant experience leading to harm (8), MALTREAT MALl (shops) with the last letter omitted or ‘cut short’ TREAT (pleasant experience) ,95
20  Come up to rabbit on about river (6)," SPROUT SPOUT (rabbit on, as in talk a lot) round R (river) ",60
22  Note male abandoning responsible character (6), NATURE N (note) mATURE (responsible) without or ‘abandoning’ ‘m’ (male) ,73
23  Beds? Fine hoaxes seeing removal of head (6), FUTONS F (fine) pUT-ONS (hoaxes) without the first letter or ‘removing head’ ,78
