,clue,exp,is_anagram,is_homophone,is_double,is_cryptic,is_contain,is_reverse,is_alternate,is_init,is_delete,is_charade,is_&lit,is_hidden,is_spoonerism,is_palindrome
41315, Strangely more accepted fate ,"  Anagram of (strangely) MORE and A (accepted) MOER* A MOERA (any of the three Fates, goddesses controlling Man’s destiny)  ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
4163,Don sari that's creased? It might have benefited from this ," SADIRON  (DON SARI)*. A sadiron is a “flatiron pointed at both ends”. Chambers gives it as a compound of “sad”, but doesn’t explain the connection, which according to the OED is from an obsolete use of sad as “solid; dense, compact; massive, heavy” ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
4903,"I p-perked up, having been made dry and cured ", KIPPERED : Anagram of(up) I P-PERKED. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
35606, All-in wrestling with bare stage performer , BALLERINA An anagram of ALL-IN and BARE – anagrind is ‘wrestling’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36922,Noted nude rebel broadcast something a little risque ,  (Noted nude rebel)* Down ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
84181,Dedicated a Sterne novel , An anagram (‘novel’) of ‘aSterne’. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36557,Lecturer cracking convoluted Casio's functions , l in (Casio’s)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
8538,Extra embellishment lit up once in fireplace ," ONCE* (anagram=lit up, drunk) in GRATE(fireplace) ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
126829,"  An honest duo, possibly — or  a much larger number  ","   ONE THOUSAND  - (an honest duo)*.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
124924, Panicking disastrously  as a grenade  exploded  ," GADARENE : (A GRENADE*). I didn’t know “Gadarene” as an adjective, but the meaning is obvious enough.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
124308," Stage  right, Oscar to play guitar "," ROSTRUM - R O STRUM 2  Please understand  term gent now misused when feeding dog (4,3,2,5) DONT GET ME WRONG - anagram* of TERM GENT NOW in DOG 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
87570,System hasn't affected financial compensations for Scotland ," / anag, i.e. affected, of SYSTEM HASN’T ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
43464,Singer breaking rules , anagram (breaking) of SINGER ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21767,Party animal retires or crashes , ROISTERER : Anagram of(… crashes) RETIRES OR. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21306,Director working by lathe haphazardly , KATHRYN BIGELOW : Anagram of(… haphazardly) WORKING BY LATHE. Defn: First female to win the Oscar for Best Director. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
81629,Drunken search for another drink , CHASER – an anagram (drunken) of SEARCH ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15635,"This ham may have dried up, coming out in a dribble "," (A DRIBBLE)* anagram=coming out – a ham is an actor, drying up is forgeting lines ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
111365," One taking steps  and  collapsing  on ground, getting up "," DANCER : an anagram of AND, then REC (ground) backwards (getting up). I really struggled with the parsing of this simple clue!   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
87688,Several changes for those who are departing , An anagram (changes) of SEVERAL ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75126," Moving to Milan, one gutted to move ", EMOTIONAL An anagram of TO MILAN OnE (‘one’ with the middle letter omitted or ‘gutted’) – anagrind is ‘to move’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
27409,Corny moment involved dog in classic tale , MONTMORENCY (CORNY MOMENT)* the dog from ‘three men in a boat’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
23900,predecessor of Roy H sounded old-fashioned ," RON G(reeenwood). The reference is to Roy Hodgson, the current England football manager, not to Roy Hattersley. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
38634,Flag and sail hung incorrectly ," =”Flag”=droop, lose energy (sail hung)* ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
76320,Out-of-date food I lend has gone rotten , OLD-FASHIONED : Anagram of(… gone rotten) FOOD I LEND HAS. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43457,Celebs so unrecognisable in previously outmoded state , anagram (unrecognisable) of CELEBS SO in ONCE (previously) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
102052,  Was messing with the  bandage  ,"   SWATHE  - WAS (""was"") anagrammed with (""messing with"") THE (""the"")   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
107943,Rule onfor bungling  old statesman  ," MELBOURNE - (RULE ON MBE*) [""for bungling""] Our Whig Prime Minister in the 1830s. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
45009,Sensualist corrupting Nile tribe , Anagram (corrupting) of NILE TRIBE ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98920,  African  galas may go wild ,"   MALAGASY  - (galas may)*. Someone from Madagascar.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
1115,Standard variation of nine weights , (NINE WEIGHTS)* variation=anagram – a British naval flag (standard) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
99312,"It's fishy, shaky and wobbly "," HISSY FIT  - (ITS FISHY)* 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
73188,Objects to Ernest's replacement , RESENTS Anagram (‘replacement’) of ‘Ernests’. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3447,Years possibly follow as a metal tester ," ASSAYER : Anagram of(possibly) YEARS placed below(follow, in a down clue) AS. 20 An unpleasant person, but an unnamed one (2-3-2) SO-AND-SO : Double defn: 1st: A euphemism for an unpleasant person;a real SOB; and 2nd: Someone (or thing) not definitely named, as “to gossip about so-and-so”. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
60297,Head of oldest and most outlandish prehistoric beast ," *(o and most), where the O is “head of old” ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
13478,Nervously impulsive? Lou and Anne in a stormy engagement ,(LOU ANNE)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74207,Japanese endlessly broadcast Songs of Praise , (j)APANES(e)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26098,Spare criminal and reduce sentence , *(spare) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107886," Stage  right, Oscar to play guitar "," ROSTRUM - R O STRUM 2  Please understand  term gent now misused when feeding dog (4,3,2,5) DONT GET ME WRONG - anagram* of TERM GENT NOW in DOG 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
92341,"Ace goes into lead, being fit, unusually tireless ", INDEFATIGABLE – A (ace) in (goes into) an anagram (unusually) of LEAD BEING FIT ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
114811,"  Having no one in control , slide errs badly ","   RIDERLESS  -anagram('badly') of SLIDE ERRS   Down   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
60093,"complicated situation, in my opinion, that's glib or misguided to interrupt "," IM(brogli)O, the brogli being (glib or)* 5 THE THIRD PERSON E.g. She, a gender-neutral thriller? (3,5,6) ‘The Third Man’ becoming gender-neutral — a great film, but a novella originally by Graham Greene — however, the novella actually appeared after the film’s release ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
7575,Ignores a possible fix ,(IGNORES A)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
102354,  Prelate reorganised  cloth folder  ,"   PLEATER  - i.e. someone who folds cloth.anagram('reorganised') of PRELATE   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
128804,"  Dismal fen spattered  fine leg, perhaps  ","   FIELDSMAN  - DISMAL FEN (""dismal fen"") anagrammed (""spattered"") I'm more a snooker man than a cricket man, myself, but  this chart  of cricket positions isstupendous!   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
128521,  Mulch possibly  decayed in hours ,"   NOURISH  - (in hours)*.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
90800,Smart thieves bamboozled suckers , (Smart thieves)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
61287,Type of flagellate from domain that's obscure ,(FROM DOMAIN)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
58351,"Close, even awkward, intimate clip ",  (Close even)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
98112,"Hop it with box on fire close to Iowa, showing  fear of dangerous stuff  "," TOXIPHOBIA: (hop it box)*-IA; Iowa=IA;  
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
88932,Secret of getting drunk with no negative consequences , (Secret of)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
13361,Mentor is so unconventional as educator ," MONTESSORI : Anagram of(… unconventional) MENTOR IS SO. Answer: Maria, Italian educator who evolved a method, named after her, of teaching children. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
79784,Aussie beach workers knock out one gallon of lime green rum , REELMEN LiME gREEN (I (one) and Gallon missing; anag: rum) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132892, Minute  enemy's wasted with minutes to spare ," EENSY - (ENE{m}Y'S*) [""wasted"", ""sparing"" M for minutes] 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
8599,Clan to run off at night , NOCTURNAL : Anagram of(… off) CLAN TO RUN. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
130820,  T-toast's out for  those obsessed with their figures ! ,"   STATTOS  -anagram('out') of TTOASTS. Informal word for statistician, particularly someone interested in the statistics of sport.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
3517,English resort's pebbly beach ," SHINGLE : Anagram of(resort, as in “rearrange”) ENGLISH. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
51984,"When raving, regret sun rising again ",(REGRET SUN)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
30063,Breaking story: in Wales massacred ,"  Ten in Wales* 27 BE A YES MAN How to gain Trump’s favour? May’s been a disaster (2,1,3,3)  (May’s been a)* ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
48577,Experienced deaconess caught out surprisingly , (deaconess – c)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132221," One taking steps  and  collapsing  on ground, getting up "," DANCER : an anagram of AND, then REC (ground) backwards (getting up). I really struggled with the parsing of this simple clue!   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
15553,Determined to get sedated after treatment , DEAD-SET : Anagram of(after treatment) SEDATED. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4048,Bulging of fat bun? Could be , (of fat bun)* = BOUFFANT ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
105938,  Latest of restrictions in force  affected   trees  ,"   CONIFERS  - (S IN FORCE)*, the S from end of restrictionS.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
6455,Untidy shepherd said mountains follow river , DISARRANGE (said)* r range — ‘shepherd’ is the anagram indicator ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
103828,"  Having no one in control , slide errs badly ","   RIDERLESS  -anagram('badly') of SLIDE ERRS   Down   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
51301,It may work wonders in Malta's new constitution ,(IN MALTAS)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66599,"Representation of comet, it is symbolic ", TOTEMIC An anagram of COMET IT – anagrind is ‘representation of’ ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
117744,Mazdaist works  printed and published secretly  ," SAMIZDAT - (MAZDAIST*) [""works""] 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
56589," Shipped to a Tunisian port where no more can be taken in (10,5)","  Anagram of (shipped) TO A TUNISIAN PORT SATURATION POINT* SATURATION POINT (the limit in numbers that can be taken in, provided with a living, used, sold, etc)  ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
51617,"Blithe gal, oddly, is the last to go in pool "," (blithe gal)* — I am rather vague about the details of pool, but no doubt the last ball that is potted in eight-ball snooker is either the eighth or the one that scores 8 ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
74022,Who draws grid seen in a new light? , DESIGNER : Anagram(in a new light) of GRID SEEN. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
69852,Descriptive term for him hit Pete badly , (HIT PETE)* [* = badly] ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
109096,Queen's only been unexpectedly captured by a knight ," ANNE BOLEYN  - (ONLY BEEN)* in A,N . King Henry VIII's second Dutch. Beginner's Guide: N is chess notation for the knight. The King pulled rank and claimed the K 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
34964,Doctor likes list I put out – showing range of abilities ,  *(likes lst) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
121361,An anti-Nazi gathering expels one  foreign national  ," TANZANIAN - (AN ANTI NAZ{i}*) [""gathering"", with one I for one ""expelled""] 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
104945,  Prelate reorganised  cloth folder  ,"   PLEATER  - i.e. someone who folds cloth.anagram('reorganised') of PRELATE   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
92167,It protects clothing from spilled ink after pan is upset , NAPKIN : Anagram of(spilled) INK placed after(after) anagram of(… is upset) PAN. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
18846,Explosive matter cools until reel is formed ," Anagram (formed) of COOLSUNTILREEL Entry: NITROCELLULOE, mising letter S ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
73779,Swedish soprano possibly orders most , (ordersmost)* = SODERSTROM became SSTROM ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55311,"Casting lots, vicar runs off with singer ","  *(lots vica), where VICA is “vicar” with R(uns) off ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
110202,  Shelved stand  that now is fashionable ,"   WHATNOT  - THAT NOW (""that now"") anagrammed (""is fashionable"") The anagram indicator is a bit of a stretch for me... I could get on board with 'fashioned', but 'fashionable'?   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
1288,Classic writing makes it personal , *(IT PERSONAL) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
79692,"Nun alert? Unfortunately, put out of her mind ", UNLEARNT – an anagram (unfortunately) of NUN ALERT ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34744,Poor character recalled in rogue , anagram (rogue) of RECALLED IN ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6199,Chunter on about staff , (CHUNTER ON)* anagram=about ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
76188,Potentially make it a target , anagram (potentially) of MAKE IT A ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
75011,Changing shoes sets them up as entertainers ," HOSTESSES : Anagram(changing) of SHOE SETS. Defn: Women who throw parties and entertain guests. Other (professional) hostesses also do entertain – eg. presenters of talk and game shows,and taxi dancers. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
72718,"Where to find Lincoln's supporters, practically naked, cavorting outside ", bras in (nake{d})* — Lincoln is the capital of Nebraska ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
130651,"  Dismal fen spattered  fine leg, perhaps  ","   FIELDSMAN  - DISMAL FEN (""dismal fen"") anagrammed (""spattered"") I'm more a snooker man than a cricket man, myself, but  this chart  of cricket positions isstupendous!   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
4493,Sadly I with 35 Sicilian raised as 27 ," *(I DEPART). Perdita is the daughter of Leontes, King of Sicily, in The Winter’s Tale and is abandoned as a baby on the coast of Bohemia. 18 OXUS Beast (American) that doesn’t go to sea (4) OX US. Research (i.e. Wikipedia) shows that the Oxus is the old name for a river (now Amu Darya) which no longer reaches the (Aral) Sea. ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
132080,  Writer  at home opening a punnet of nuts? ,"   FOUNTAIN PEN  - IN (at home) getting into (opening) *(A PUNNET OF) with ""nuts"" as the anagrind   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
130559,Rule onfor bungling  old statesman  ," MELBOURNE - (RULE ON MBE*) [""for bungling""] Our Whig Prime Minister in the 1830s. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
19472,Famous player‘s role can do with being revised , anagram (beong revised) of ROLE CAN DO and W (with) – a writer of plays ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48688,Which should keep a worker from leaving wig off , anagram (off) of LEAVING WIG ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20138,Rare slip in play results in retaliation , REPRISAL : Anagram of(… in play) RARE SLIP. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
87558,sad His chapel treated sad state of disciples ," / anag, i.e. treated, of HIS CHAPEL ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
77798, Burdens of foolish ideals ,   I  Burdens of foolish deals (6)  Anagram of (foolish) DEALS LADES* [ ]LADES (burdens)  ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
123917,  Snack  costs — a top rip off ,"   POTATO CRISPS  - a simple anagram to kick off with: COSTS A TOP RIP rearranged ('off'). Reminds me of the famous graffitoanagramback in the 70s: CATS LIKE PLAIN CRISPS.Those were the days.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
99277,  Latest of restrictions in force  affected   trees  ,"   CONIFERS  - (S IN FORCE)*, the S from end of restrictionS.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
66118,Partner usually dancing in angelic fashion? , SUPERNATURALLY : Anagram of(usually dancing) PARTNER USUALLY. Defn: In the manner of supernatural beings like angels. ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7542,Naughty lady is in place of vice – one of seven baddies , Anagram of LADY IS in DEN (place of vice) ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
125973,  T-toast's out for  those obsessed with their figures ! ,"   STATTOS  -anagram('out') of TTOASTS. Informal word for statistician, particularly someone interested in the statistics of sport.   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
105327,Brown horses crossing sort of wilder  places to lead them  ," BRIDLEWAYS - BAYS [brown horses] ""crossing"" (WILDER*) [""sort of...""] 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
106833,"  Dismal fen spattered  fine leg, perhaps  ","   FIELDSMAN  - DISMAL FEN (""dismal fen"") anagrammed (""spattered"") I'm more a snooker man than a cricket man, myself, but  this chart  of cricket positions isstupendous!   
",True,False,False,False,False,False,False,False,False,False,False,False,False,False
12084,Rare completeness of line occupying writer – duet rewritten with it , PLENTITUDE p(l)en it (duet)* — this word is given in Chambersas a non-standard form of plenitude ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71417,Egg seen all round course ,  (Egg seen all)* ,True,False,False,False,False,False,False,False,False,False,False,False,False,False
71722,Artist has designed action that's perfect for a British summer? ," RAINCOAT : RA(abbrev. for “Royal Academician”, an artist who is a member of the Royal Academy of Arts) plus(has) anagram of(designed) ACTION. Defn: Something perfect of the British summer weather given its perverseness (indicated by the question mark). ",True,False,False,False,False,False,False,False,False,False,False,False,False,False
